rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S1,Caverphone.java,41,super();,0.0,651,651
1,S2,Caverphone.java,54,if( txt == null || txt.length() == 0 ) {,0.0,651,651
1,S3,Caverphone.java,59,txt = txt.toLowerCase();,0.0,651,651
1,S4,Caverphone.java,62,"txt = txt.replaceAll(""[^a-z]"", """");",0.0,651,651
1,S5,Caverphone.java,65,"txt = txt.replaceAll(""e$"", """");             // 2.0 only",0.0,651,651
1,S6,Caverphone.java,68,"txt = txt.replaceAll(""^cough"", ""cou2f"");",0.0,651,651
1,S7,Caverphone.java,69,"txt = txt.replaceAll(""^rough"", ""rou2f"");",0.0,651,651
1,S8,Caverphone.java,70,"txt = txt.replaceAll(""^tough"", ""tou2f"");",0.0,651,651
1,S9,Caverphone.java,71,"txt = txt.replaceAll(""^enough"", ""enou2f"");  // 2.0 only",0.0,651,651
1,S10,Caverphone.java,72,"txt = txt.replaceAll(""^trough"", ""trou2f"");  // 2.0 only - note the spec says ^enough here again, c+p error I assume",0.0,651,651
1,S11,Caverphone.java,73,"txt = txt.replaceAll(""^gn"", ""2n"");",0.0,651,651
1,S12,Caverphone.java,74,"txt = txt.replaceAll(""^mb"", ""m2"");",0.0,651,651
1,S13,Caverphone.java,77,"txt = txt.replaceAll(""cq"", ""2q"");",0.0,651,651
1,S14,Caverphone.java,78,"txt = txt.replaceAll(""ci"", ""si"");",0.0,651,651
1,S15,Caverphone.java,79,"txt = txt.replaceAll(""ce"", ""se"");",0.0,651,651
1,S16,Caverphone.java,80,"txt = txt.replaceAll(""cy"", ""sy"");",0.0,651,651
1,S17,Caverphone.java,81,"txt = txt.replaceAll(""tch"", ""2ch"");",0.0,651,651
1,S18,Caverphone.java,82,"txt = txt.replaceAll(""c"", ""k"");",0.0,651,651
1,S19,Caverphone.java,83,"txt = txt.replaceAll(""q"", ""k"");",0.0,651,651
1,S20,Caverphone.java,84,"txt = txt.replaceAll(""x"", ""k"");",0.0,651,651
1,S21,Caverphone.java,85,"txt = txt.replaceAll(""v"", ""f"");",0.0,651,651
1,S22,Caverphone.java,86,"txt = txt.replaceAll(""dg"", ""2g"");",0.0,651,651
1,S23,Caverphone.java,87,"txt = txt.replaceAll(""tio"", ""sio"");",0.0,651,651
1,S24,Caverphone.java,88,"txt = txt.replaceAll(""tia"", ""sia"");",0.0,651,651
1,S25,Caverphone.java,89,"txt = txt.replaceAll(""d"", ""t"");",0.0,651,651
1,S26,Caverphone.java,90,"txt = txt.replaceAll(""ph"", ""fh"");",0.0,651,651
1,S27,Caverphone.java,91,"txt = txt.replaceAll(""b"", ""p"");",0.0,651,651
1,S28,Caverphone.java,92,"txt = txt.replaceAll(""sh"", ""s2"");",0.0,651,651
1,S29,Caverphone.java,93,"txt = txt.replaceAll(""z"", ""s"");",0.0,651,651
1,S30,Caverphone.java,94,"txt = txt.replaceAll(""^[aeiou]"", ""A"");",0.0,651,651
1,S31,Caverphone.java,95,"txt = txt.replaceAll(""[aeiou]"", ""3"");",0.0,651,651
1,S32,Caverphone.java,96,"txt = txt.replaceAll(""j"", ""y"");        // 2.0 only",0.0,651,651
1,S33,Caverphone.java,97,"txt = txt.replaceAll(""^y3"", ""Y3"");     // 2.0 only",0.0,651,651
1,S34,Caverphone.java,98,"txt = txt.replaceAll(""^y"", ""A"");       // 2.0 only",0.0,651,651
1,S35,Caverphone.java,99,"txt = txt.replaceAll(""y"", ""3"");        // 2.0 only",0.0,651,651
1,S36,Caverphone.java,100,"txt = txt.replaceAll(""3gh3"", ""3kh3"");",0.0,651,651
1,S37,Caverphone.java,101,"txt = txt.replaceAll(""gh"", ""22"");",0.0,651,651
1,S38,Caverphone.java,102,"txt = txt.replaceAll(""g"", ""k"");",0.0,651,651
1,S39,Caverphone.java,103,"txt = txt.replaceAll(""s+"", ""S"");",0.0,651,651
1,S40,Caverphone.java,104,"txt = txt.replaceAll(""t+"", ""T"");",0.0,651,651
1,S41,Caverphone.java,105,"txt = txt.replaceAll(""p+"", ""P"");",0.0,651,651
1,S42,Caverphone.java,106,"txt = txt.replaceAll(""k+"", ""K"");",0.0,651,651
1,S43,Caverphone.java,107,"txt = txt.replaceAll(""f+"", ""F"");",0.0,651,651
1,S44,Caverphone.java,108,"txt = txt.replaceAll(""m+"", ""M"");",0.0,651,651
1,S45,Caverphone.java,109,"txt = txt.replaceAll(""n+"", ""N"");",0.0,651,651
1,S46,Caverphone.java,110,"txt = txt.replaceAll(""w3"", ""W3"");",0.0,651,651
1,S47,Caverphone.java,112,"txt = txt.replaceAll(""wh3"", ""Wh3"");",0.0,651,651
1,S48,Caverphone.java,113,"txt = txt.replaceAll(""w$"", ""3"");       // 2.0 only",0.0,651,651
1,S49,Caverphone.java,115,"txt = txt.replaceAll(""w"", ""2"");",0.0,651,651
1,S50,Caverphone.java,116,"txt = txt.replaceAll(""^h"", ""A"");",0.0,651,651
1,S51,Caverphone.java,117,"txt = txt.replaceAll(""h"", ""2"");",0.0,651,651
1,S52,Caverphone.java,118,"txt = txt.replaceAll(""r3"", ""R3"");",0.0,651,651
1,S53,Caverphone.java,119,"txt = txt.replaceAll(""r$"", ""3"");       // 2.0 only",0.0,651,651
1,S54,Caverphone.java,121,"txt = txt.replaceAll(""r"", ""2"");",0.0,651,651
1,S55,Caverphone.java,122,"txt = txt.replaceAll(""l3"", ""L3"");",0.0,651,651
1,S56,Caverphone.java,123,"txt = txt.replaceAll(""l$"", ""3"");       // 2.0 only",0.0,651,651
1,S57,Caverphone.java,125,"txt = txt.replaceAll(""l"", ""2"");",0.0,651,651
1,S58,Caverphone.java,131,"txt = txt.replaceAll(""2"", """");",0.0,651,651
1,S59,Caverphone.java,132,"txt = txt.replaceAll(""3$"", ""A"");       // 2.0 only",0.0,651,651
1,S60,Caverphone.java,133,"txt = txt.replaceAll(""3"", """");",0.0,651,651
1,S61,Caverphone.java,136,"txt = txt + ""111111"" + ""1111"";        // 1.0 only has 6 1s",0.0,651,651
1,S62,Caverphone.java,139,"return txt.substring(0, 10);          // 1.0 truncates to 6",0.0,651,651
1,S63,DoubleMetaphone.java,47,private static final String[] SILENT_START =,0.0,651,651
1,S64,DoubleMetaphone.java,49,private static final String[] L_R_N_M_B_H_F_V_W_SPACE =,0.0,651,651
1,S65,DoubleMetaphone.java,51,private static final String[] ES_EP_EB_EL_EY_IB_IL_IN_IE_EI_ER =,0.0,651,651
1,S66,DoubleMetaphone.java,53,private static final String[] L_T_K_S_N_M_B_Z =,0.0,651,651
1,S67,DoubleMetaphone.java,59,protected int maxCodeLen = 4;,0.0,651,651
1,S68,DoubleMetaphone.java,65,super();,0.0,651,651
1,S69,DoubleMetaphone.java,75,"return doubleMetaphone(value, false);",0.0,651,651
1,S70,DoubleMetaphone.java,87,value = cleanInput(value);,0.0,651,651
