rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S189,CSVParser.java,367,"throw new IllegalArgumentException(""The header contains a duplicate name: \"""" + header +",0.333333,1,1
2,S77,CSVFormat.java,505,return allowMissingColumnNames;,0.288675,1,2
3,S176,CSVParser.java,348,final CSVRecord nextRecord = this.nextRecord();,0.174078,4,6
3,S177,CSVParser.java,349,if (nextRecord != null) {,0.174078,4,6
3,S178,CSVParser.java,350,headerRecord = nextRecord.values();,0.174078,4,6
3,S179,CSVParser.java,352,} else {,0.174078,4,6
7,S462,Lexer.java,145,token.type = TOKEN;,0.149071,1,7
8,S173,CSVParser.java,343,"hdrMap = new LinkedHashMap<String, Integer>();",0.144338,11,18
8,S174,CSVParser.java,345,String[] headerRecord = null;,0.144338,11,18
8,S175,CSVParser.java,346,if (formatHeader.length == 0) {,0.144338,11,18
8,S183,CSVParser.java,360,if (headerRecord != null) {,0.144338,11,18
8,S184,CSVParser.java,361,for (int i = 0; i < headerRecord.length; i++) {,0.144338,11,18
8,S185,CSVParser.java,362,final String header = headerRecord[i];,0.144338,11,18
8,S186,CSVParser.java,363,final boolean containsHeader = hdrMap.containsKey(header);,0.144338,11,18
8,S187,CSVParser.java,364,final boolean emptyHeader = header == null || header.trim().isEmpty();,0.144338,11,18
8,S188,CSVParser.java,365,if (containsHeader &&,0.144338,11,18
8,S190,CSVParser.java,370,"hdrMap.put(header, Integer.valueOf(i));",0.144338,11,18
8,S535,Lexer.java,367,ch = reader.read();,0.144338,11,18
19,S464,Lexer.java,149,token.type = EORECORD;,0.140028,1,19
20,S29,CSVFormat.java,369,this.header = header.clone();,0.125988,1,20
21,S25,CSVFormat.java,362,final Set<String> dupCheck = new HashSet<String>();,0.123091,3,23
21,S26,CSVFormat.java,363,for (final String hdr : header) {,0.123091,3,23
21,S127,CSVFormat.java,849,"return new CSVFormat(delimiter, quoteCharacter, quoteMode, commentMarker, escapeCharacter,",0.123091,3,23
