rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S1,Base64.java,378,return buffer != null ? pos - readPos : 0;,0.0,25,25
1,S2,Base64.java,383,if (buffer == null) {,0.0,25,25
1,S3,Base64.java,384,buffer = new byte[DEFAULT_BUFFER_SIZE];,0.0,25,25
1,S4,Base64.java,385,pos = 0;,0.0,25,25
1,S5,Base64.java,386,readPos = 0;,0.0,25,25
1,S6,Base64.java,407,if (buffer != null) {,0.0,25,25
1,S7,Base64.java,408,"int len = Math.min(avail(), bAvail);",0.0,25,25
1,S8,Base64.java,409,"System.arraycopy(buffer, readPos, b, bPos, len);",0.0,25,25
1,S9,Base64.java,534,if (buffer == null || buffer.length - pos < decodeSize) {,0.0,25,25
1,S10,Base64.java,535,resizeBuffer();,0.0,25,25
1,S11,Base64.java,537,byte b = in[inPos++];,0.0,25,25
1,S12,Base64.java,637,return false;,0.0,25,25
1,S13,Base64.java,640,return true;,0.0,25,25
1,S14,Base64.java,762,reset();,0.0,25,25
1,S15,Base64.java,763,if (pArray == null || pArray.length == 0) {,0.0,25,25
1,S16,Base64.java,764,return pArray;,0.0,25,25
1,S17,Base64.java,766,"decode(pArray, 0, pArray.length);",0.0,25,25
1,S18,Base64.java,768,byte[] result = new byte[pos];,0.0,25,25
1,S19,Base64.java,769,"readResults(result, 0, result.length);",0.0,25,25
1,S20,Base64.java,770,return result;,0.0,25,25
1,S21,Base64.java,859,return new Base64().decode(base64Data);,0.0,25,25
1,S22,Base64.java,1053,buffer = null;,0.0,25,25
1,S23,StringUtils.java,129,"return StringUtils.getBytesUnchecked(string, CharEncoding.UTF_8);",0.0,25,25
1,S24,StringUtils.java,152,if (string == null) {,0.0,25,25
1,S25,StringUtils.java,156,return string.getBytes(charsetName);,0.0,25,25
