rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S904,Line.java,87,"final Line reverted = new Line(zero, zero.subtract(direction));",1.0,4,4
1,S905,Line.java,88,return reverted;,1.0,4,4
1,S1605,Vector3D.java,222,"return new double[] { x, y, z };",1.0,4,4
1,S1632,Vector3D.java,374,"return new Vector3D(-x, -y, -z);",1.0,4,4
5,S906,Line.java,95,return direction;,0.316228,1,5
6,S894,Line.java,54,"public Line(final Vector3D p1, final Vector3D p2) throws MathIllegalArgumentException {",0.19245,8,13
6,S895,Line.java,55,"reset(p1, p2);",0.19245,8,13
6,S897,Line.java,74,final Vector3D delta = p2.subtract(p1);,0.19245,8,13
6,S898,Line.java,75,final double norm2 = delta.getNormSq();,0.19245,8,13
6,S899,Line.java,76,if (norm2 == 0.0) {,0.19245,8,13
6,S900,Line.java,79,"this.direction = new Vector3D(1.0 / FastMath.sqrt(norm2), delta);",0.19245,8,13
6,S901,Line.java,80,"zero = new Vector3D(1.0, p1, -p1.dotProduct(delta) / norm2, delta);",0.19245,8,13
6,S1607,Vector3D.java,249,return x * x + y * y + z * z;,0.19245,8,13
14,S1594,Vector3D.java,151,"public Vector3D(double a1, Vector3D u1, double a2, Vector3D u2) {",0.185695,4,17
14,S1595,Vector3D.java,152,"this.x = MathArrays.linearCombination(a1, u1.x, a2, u2.x);",0.185695,4,17
14,S1596,Vector3D.java,153,"this.y = MathArrays.linearCombination(a1, u1.y, a2, u2.y);",0.185695,4,17
14,S1597,Vector3D.java,154,"this.z = MathArrays.linearCombination(a1, u1.z, a2, u2.z);",0.185695,4,17
18,S1610,Vector3D.java,286,final Vector3D v3 = (Vector3D) v;,0.179605,2,19
18,S1611,Vector3D.java,287,"return new Vector3D(x - v3.x, y - v3.y, z - v3.z);",0.179605,2,19
20,S533,FastMath.java,97,private static final double LOG_MAX_VALUE = StrictMath.log(Double.MAX_VALUE);,0.169031,89,108
20,S534,FastMath.java,115,private static final double LN_QUICK_COEF[][] = {,0.169031,89,108
