rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S2,Complex.java,64,"public static final Complex INF = new Complex(Double.POSITIVE_INFINITY, Double.POSITIVE_INFINITY);",0.707107,1,1
2,S3,Complex.java,98,"public Complex(double real, double imaginary) {",0.171499,5,6
2,S4,Complex.java,99,this.real = real;,0.171499,5,6
2,S5,Complex.java,100,this.imaginary = imaginary;,0.171499,5,6
2,S6,Complex.java,102,isNaN = Double.isNaN(real) || Double.isNaN(imaginary);,0.171499,5,6
2,S7,Complex.java,103,isInfinite = !isNaN &&,0.171499,5,6
7,S1,Complex.java,61,"public static final Complex NaN = new Complex(Double.NaN, Double.NaN);",0.0,5,11
7,S8,Complex.java,529,if (isNaN) {,0.0,5,11
7,S9,Complex.java,554,if (isNaN) {,0.0,5,11
7,S10,Complex.java,746,if (isNaN) {,0.0,5,11
7,S11,Complex.java,777,return this.log().multiply(x).exp();,0.0,5,11
