rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S53,CSVLexer.java,158,c = in.read();,0.267261,1,1
2,S27,CSVLexer.java,51,int c = in.read();,0.235702,38,39
2,S28,CSVLexer.java,52,boolean eol = isEndOfLine(c);,0.235702,38,39
2,S29,CSVLexer.java,53,c = in.readAgain();,0.235702,38,39
2,S30,CSVLexer.java,75,if (isEndOfFile(lastChar) || (!isDelimiter(lastChar) && isEndOfFile(c))) {,0.235702,38,39
2,S31,CSVLexer.java,82,while (tkn.type == INVALID) {,0.235702,38,39
2,S36,CSVLexer.java,92,if (isCommentStart(c)) {,0.235702,38,39
2,S37,CSVLexer.java,96,} else if (isDelimiter(c)) {,0.235702,38,39
2,S38,CSVLexer.java,99,} else if (eol) {,0.235702,38,39
2,S40,CSVLexer.java,103,} else if (isEncapsulator(c)) {,0.235702,38,39
2,S42,CSVLexer.java,106,} else if (isEndOfFile(c)) {,0.235702,38,39
2,S43,CSVLexer.java,114,"simpleTokenLexer(tkn, c);",0.235702,38,39
2,S44,CSVLexer.java,139,if (isEndOfLine(c)) {,0.235702,38,39
2,S45,CSVLexer.java,141,tkn.type = EORECORD;,0.235702,38,39
2,S46,CSVLexer.java,143,} else if (isEndOfFile(c)) {,0.235702,38,39
2,S49,CSVLexer.java,148,} else if (isDelimiter(c)) {,0.235702,38,39
2,S51,CSVLexer.java,152,} else if (isEscape(c)) {,0.235702,38,39
2,S52,CSVLexer.java,155,tkn.content.append((char) c);,0.235702,38,39
2,S72,CSVParser.java,139,reusableToken.reset();,0.235702,38,39
2,S73,CSVParser.java,140,lexer.nextToken(reusableToken);,0.235702,38,39
2,S74,CSVParser.java,141,switch (reusableToken.type) {,0.235702,38,39
2,S76,CSVParser.java,146,record.add(reusableToken.content.toString());,0.235702,38,39
2,S79,CSVParser.java,160,if (!record.isEmpty()) {,0.235702,38,39
2,S80,CSVParser.java,161,"result = new CSVRecord(record.toArray(new String[record.size()]), headerMapping);",0.235702,38,39
2,S86,ExtendedBufferedReader.java,57,int current = super.read();,0.235702,38,39
2,S87,ExtendedBufferedReader.java,61,lastChar = current;,0.235702,38,39
2,S88,ExtendedBufferedReader.java,62,return lastChar;,0.235702,38,39
2,S89,ExtendedBufferedReader.java,76,return lastChar;,0.235702,38,39
2,S104,Lexer.java,111,return (c == '\n' || c == '\r');,0.235702,38,39
2,S105,Lexer.java,118,return c == ExtendedBufferedReader.END_OF_STREAM;,0.235702,38,39
2,S106,Lexer.java,124,return c == delimiter;,0.235702,38,39
2,S107,Lexer.java,128,return isEscaping && c == escape;,0.235702,38,39
2,S108,Lexer.java,132,return isEncapsulating && c == encapsulator;,0.235702,38,39
2,S109,Lexer.java,136,return isCommentEnabled && c == commmentStart;,0.235702,38,39
2,S113,Token.java,38,"TOKEN,",0.235702,38,39
2,S114,Token.java,41,"EOF,",0.235702,38,39
2,S115,Token.java,44,EORECORD,0.235702,38,39
2,S118,Token.java,57,content.setLength(0);,0.235702,38,39
2,S119,Token.java,58,type = INVALID;,0.235702,38,39
40,S71,CSVParser.java,137,record.clear();,0.229416,1,40
41,S70,CSVParser.java,107,"this(new StringReader(input), format);",0.223607,1,41
42,S3,CSVFormat.java,150,String[] header) {,0.218218,3,44
42,S10,CSVFormat.java,157,this.lineSeparator = lineSeparator;,0.218218,3,44
42,S11,CSVFormat.java,158,this.header = header;,0.218218,3,44
45,S1,CSVFormat.java,56,"private static CSVFormat PRISTINE = new CSVFormat(DISABLED, DISABLED, DISABLED, DISABLED, false, false, null, null);",0.213201,50,94
45,S2,CSVFormat.java,67,public static final CSVFormat DEFAULT =,0.213201,50,94
45,S4,CSVFormat.java,151,this.delimiter = delimiter;,0.213201,50,94
45,S5,CSVFormat.java,152,this.encapsulator = encapsulator;,0.213201,50,94
45,S6,CSVFormat.java,153,this.commentStart = commentStart;,0.213201,50,94
45,S7,CSVFormat.java,154,this.escape = escape;,0.213201,50,94
45,S8,CSVFormat.java,155,this.surroundingSpacesIgnored = surroundingSpacesIgnored;,0.213201,50,94
45,S9,CSVFormat.java,156,this.emptyLinesIgnored = emptyLinesIgnored;,0.213201,50,94
45,S12,CSVFormat.java,203,return delimiter;,0.213201,50,94
45,S13,CSVFormat.java,218,"return new CSVFormat(delimiter, encapsulator, commentStart, escape, surroundingSpacesIgnored, emptyLinesIgnored, lineSeparator, header);",0.213201,50,94
45,S14,CSVFormat.java,227,return encapsulator;,0.213201,50,94
45,S15,CSVFormat.java,242,"return new CSVFormat(delimiter, encapsulator, commentStart, escape, surroundingSpacesIgnored, emptyLinesIgnored, lineSeparator, header);",0.213201,50,94
45,S16,CSVFormat.java,246,return this.encapsulator != DISABLED;,0.213201,50,94
45,S17,CSVFormat.java,255,return commentStart;,0.213201,50,94
45,S18,CSVFormat.java,279,return this.commentStart != DISABLED;,0.213201,50,94
45,S19,CSVFormat.java,288,return escape;,0.213201,50,94
45,S20,CSVFormat.java,307,return this.escape != DISABLED;,0.213201,50,94
45,S21,CSVFormat.java,316,return surroundingSpacesIgnored;,0.213201,50,94
45,S23,CSVFormat.java,336,return emptyLinesIgnored;,0.213201,50,94
45,S24,CSVFormat.java,347,"return new CSVFormat(delimiter, encapsulator, commentStart, escape, surroundingSpacesIgnored, emptyLinesIgnored, lineSeparator, header);",0.213201,50,94
45,S25,CSVFormat.java,367,"return new CSVFormat(delimiter, encapsulator, commentStart, escape, surroundingSpacesIgnored, emptyLinesIgnored, lineSeparator, header);",0.213201,50,94
45,S26,CSVLexer.java,28,"super(format, in);",0.213201,50,94
45,S64,CSVParser.java,71,private final List<String> record = new ArrayList<String>();,0.213201,50,94
45,S65,CSVParser.java,72,private final Token reusableToken = new Token();,0.213201,50,94
45,S66,CSVParser.java,91,"public CSVParser(Reader input, CSVFormat format) throws IOException {",0.213201,50,94
45,S67,CSVParser.java,92,format.validate();,0.213201,50,94
45,S68,CSVParser.java,94,"this.lexer = new CSVLexer(format, new ExtendedBufferedReader(input));",0.213201,50,94
45,S69,CSVParser.java,96,this.headerMapping = initializeHeader(format);,0.213201,50,94
45,S81,CSVParser.java,170,"Map<String, Integer> hdrMap = null;",0.213201,50,94
45,S82,CSVParser.java,192,return hdrMap;,0.213201,50,94
45,S83,ExtendedBufferedReader.java,43,private int lastChar = UNDEFINED;,0.213201,50,94
45,S84,ExtendedBufferedReader.java,46,private int lineCounter = 0;,0.213201,50,94
45,S85,ExtendedBufferedReader.java,52,super(r);,0.213201,50,94
45,S90,Lexer.java,45,"Lexer(CSVFormat format, ExtendedBufferedReader in) {",0.213201,50,94
45,S91,Lexer.java,46,this.format = format;,0.213201,50,94
45,S92,Lexer.java,47,this.in = in;,0.213201,50,94
45,S93,Lexer.java,48,this.isEncapsulating = format.isEncapsulating();,0.213201,50,94
45,S94,Lexer.java,49,this.isEscaping = format.isEscaping();,0.213201,50,94
45,S95,Lexer.java,50,this.isCommentEnabled = format.isCommentingEnabled();,0.213201,50,94
45,S96,Lexer.java,51,this.delimiter = format.getDelimiter();,0.213201,50,94
45,S97,Lexer.java,52,this.escape = format.getEscape();,0.213201,50,94
45,S98,Lexer.java,53,this.encapsulator = format.getEncapsulator();,0.213201,50,94
45,S99,Lexer.java,54,this.commmentStart = format.getCommentStart();,0.213201,50,94
45,S100,Lexer.java,55,this.surroundingSpacesIgnored = format.isSurroundingSpacesIgnored();,0.213201,50,94
45,S101,Lexer.java,56,this.emptyLinesIgnored = format.isEmptyLinesIgnored();,0.213201,50,94
45,S110,Token.java,28,class Token {,0.213201,50,94
45,S111,Token.java,33,enum Type {,0.213201,50,94
45,S112,Token.java,35,"INVALID,",0.213201,50,94
45,S116,Token.java,48,Token.Type type = INVALID;,0.213201,50,94
45,S117,Token.java,51,StringBuilder content = new StringBuilder(INITIAL_TOKEN_LENGTH);,0.213201,50,94
95,S22,CSVFormat.java,327,"return new CSVFormat(delimiter, encapsulator, commentStart, escape, surroundingSpacesIgnored, emptyLinesIgnored, lineSeparator, header);",0.0,25,119
95,S32,CSVLexer.java,84,if (surroundingSpacesIgnored) {,0.0,25,119
95,S33,CSVLexer.java,85,while (isWhitespace(c) && !eol) {,0.0,25,119
95,S34,CSVLexer.java,86,c = in.read();,0.0,25,119
95,S35,CSVLexer.java,87,eol = isEndOfLine(c);,0.0,25,119
95,S39,CSVLexer.java,102,tkn.type = EORECORD;,0.0,25,119
95,S41,CSVLexer.java,105,"encapsulatedTokenLexer(tkn, c);",0.0,25,119
95,S47,CSVLexer.java,145,tkn.type = EOF;,0.0,25,119
95,S48,CSVLexer.java,146,tkn.isReady = true; // There is data at EOF,0.0,25,119
95,S50,CSVLexer.java,150,tkn.type = TOKEN;,0.0,25,119
95,S54,CSVLexer.java,187,c = in.read();,0.0,25,119
95,S55,CSVLexer.java,191,} else if (isEncapsulator(c)) {,0.0,25,119
95,S56,CSVLexer.java,192,if (isEncapsulator(in.lookAhead())) {,0.0,25,119
95,S57,CSVLexer.java,194,c = in.read();,0.0,25,119
95,S58,CSVLexer.java,195,tkn.content.append((char) c);,0.0,25,119
95,S59,CSVLexer.java,199,c = in.read();,0.0,25,119
95,S60,CSVLexer.java,200,if (isDelimiter(c)) {,0.0,25,119
