rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S87,DefaultParser.java,308,"int pos = token.indexOf(""="");",0.707107,14,14
1,S88,DefaultParser.java,309,"String optName = pos == -1 ? token.substring(1) : token.substring(1, pos);",0.707107,14,14
1,S89,DefaultParser.java,310,return options.hasShortOption(optName);,0.707107,14,14
1,S92,DefaultParser.java,326,"int pos = token.indexOf(""="");",0.707107,14,14
1,S93,DefaultParser.java,327,"String t = pos == -1 ? token : token.substring(0, pos);",0.707107,14,14
1,S94,DefaultParser.java,329,if (!options.getMatchingOptions(t).isEmpty()),0.707107,14,14
1,S95,DefaultParser.java,334,"else if (getLongPrefix(token) != null && !token.startsWith(""--""))",0.707107,14,14
1,S96,DefaultParser.java,340,return false;,0.707107,14,14
1,S112,DefaultParser.java,577,String t = Util.stripLeadingHyphens(token);,0.707107,14,14
1,S113,DefaultParser.java,580,String opt = null;,0.707107,14,14
1,S114,DefaultParser.java,581,for (i = t.length() - 2; i > 1; i--),0.707107,14,14
1,S117,DefaultParser.java,591,return opt;,0.707107,14,14
1,S197,Option.java,635,if (this == o),0.707107,14,14
1,S198,Option.java,637,return true;,0.707107,14,14
15,S17,CommandLine.java,67,return options.contains(resolveOption(opt));,0.57735,20,34
15,S32,CommandLine.java,196,return option;,0.57735,20,34
15,S73,DefaultParser.java,235,currentOption.addValueForProcessing(Util.stripLeadingAndTrailingQuotes(token));,0.57735,20,34
15,S79,DefaultParser.java,252,currentOption = null;,0.57735,20,34
15,S109,DefaultParser.java,496,else if (pos == -1),0.57735,20,34
15,S110,DefaultParser.java,499,if (options.hasShortOption(t)),0.57735,20,34
15,S111,DefaultParser.java,501,handleOption(options.getOption(t));,0.57735,20,34
15,S217,Option.java,842,this.argName = argName;,0.57735,20,34
15,S218,Option.java,843,return this;,0.57735,20,34
15,S221,Option.java,878,this.numberOfArgs = numberOfArgs;,0.57735,20,34
15,S222,Option.java,879,return this;,0.57735,20,34
15,S223,Option.java,891,this.optionalArg = isOptional;,0.57735,20,34
15,S224,Option.java,892,return this;,0.57735,20,34
15,S225,Option.java,973,return hasArg(true);,0.57735,20,34
15,S226,Option.java,985,numberOfArgs = hasArg ? 1 : Option.UNINITIALIZED;,0.57735,20,34
15,S227,Option.java,986,return this;,0.57735,20,34
15,S273,OptionValidator.java,67,for (char ch : opt.toCharArray()),0.57735,20,34
15,S274,OptionValidator.java,69,if (!isValidChar(ch)),0.57735,20,34
15,S298,Options.java,286,for (String longOpt : longOpts.keySet()),0.57735,20,34
15,S301,Options.java,294,return matchingOpts;,0.57735,20,34
35,S22,CommandLine.java,144,String[] values = getOptionValues(opt);,0.5,35,69
35,S23,CommandLine.java,146,return (values == null) ? null : values[0];,0.5,35,69
35,S24,CommandLine.java,170,List<String> values = new ArrayList<String>();,0.5,35,69
35,S25,CommandLine.java,172,for (Option option : options),0.5,35,69
35,S26,CommandLine.java,174,if (opt.equals(option.getOpt()) || opt.equals(option.getLongOpt())),0.5,35,69
35,S27,CommandLine.java,176,values.addAll(option.getValuesList());,0.5,35,69
35,S28,CommandLine.java,180,return values.isEmpty() ? null : values.toArray(new String[values.size()]);,0.5,35,69
35,S29,CommandLine.java,191,opt = Util.stripLeadingHyphens(opt);,0.5,35,69
35,S30,CommandLine.java,192,for (Option option : options),0.5,35,69
35,S31,CommandLine.java,194,if (opt.equals(option.getOpt())),0.5,35,69
35,S76,DefaultParser.java,241,"else if (token.startsWith(""-"") && !""-"".equals(token))",0.5,35,69
35,S77,DefaultParser.java,243,handleShortAndLongOption(token);,0.5,35,69
35,S80,DefaultParser.java,263,return !isOption(token) || isNegativeNumber(token);,0.5,35,69
35,S84,DefaultParser.java,291,return isLongOption(token) || isShortOption(token);,0.5,35,69
35,S85,DefaultParser.java,302,"if (!token.startsWith(""-"") || token.length() == 1)",0.5,35,69
35,S90,DefaultParser.java,321,"if (!token.startsWith(""-"") || token.length() == 1)",0.5,35,69
35,S104,DefaultParser.java,480,String t = Util.stripLeadingHyphens(token);,0.5,35,69
35,S105,DefaultParser.java,482,int pos = t.indexOf('=');,0.5,35,69
35,S106,DefaultParser.java,484,if (t.length() == 1),0.5,35,69
35,S123,DefaultParser.java,618,currentOption = option;,0.5,35,69
35,S180,Option.java,413,return valuesep > 0;,0.5,35,69
35,S181,Option.java,442,if (numberOfArgs == UNINITIALIZED),0.5,35,69
35,S182,Option.java,446,processValue(value);,0.5,35,69
35,S183,Option.java,463,if (hasValueSeparator()),0.5,35,69
35,S191,Option.java,492,add(value);,0.5,35,69
35,S192,Option.java,506,if (!acceptsArg()),0.5,35,69
35,S193,Option.java,512,values.add(value);,0.5,35,69
35,S294,Options.java,276,opt = Util.stripLeadingHyphens(opt);,0.5,35,69
35,S295,Options.java,278,List<String> matchingOpts = new ArrayList<String>();,0.5,35,69
35,S296,Options.java,281,if (longOpts.keySet().contains(opt)),0.5,35,69
35,S306,Options.java,333,opt = Util.stripLeadingHyphens(opt);,0.5,35,69
35,S307,Options.java,335,return shortOpts.containsKey(opt);,0.5,35,69
35,S381,Util.java,64,int length = str.length();,0.5,35,69
35,S382,Util.java,65,"if (length > 1 && str.startsWith(""\"""") && str.endsWith(""\"""") && str.substring(1, length - 1).indexOf('""') == -1)",0.5,35,69
35,S383,Util.java,70,return str;,0.5,35,69
70,S61,DefaultParser.java,125,checkRequiredArgs();,0.447214,38,107
70,S62,DefaultParser.java,128,handleProperties(properties);,0.447214,38,107
70,S63,DefaultParser.java,130,checkRequiredOptions();,0.447214,38,107
70,S64,DefaultParser.java,132,return cmd;,0.447214,38,107
70,S65,DefaultParser.java,142,if (properties == null),0.447214,38,107
70,S66,DefaultParser.java,144,return;,0.447214,38,107
70,S67,DefaultParser.java,197,if (!expectedOpts.isEmpty()),0.447214,38,107
70,S68,DefaultParser.java,209,if (currentOption != null && currentOption.requiresArg()),0.447214,38,107
70,S78,DefaultParser.java,250,if (currentOption != null && !currentOption.acceptsArg()),0.447214,38,107
70,S118,DefaultParser.java,608,checkRequiredArgs();,0.447214,38,107
70,S119,DefaultParser.java,610,option = (Option) option.clone();,0.447214,38,107
70,S120,DefaultParser.java,612,updateRequiredOptions(option);,0.447214,38,107
70,S121,DefaultParser.java,614,cmd.addOption(option);,0.447214,38,107
70,S122,DefaultParser.java,616,if (option.hasArg()),0.447214,38,107
70,S125,DefaultParser.java,633,if (option.isRequired()),0.447214,38,107
70,S126,DefaultParser.java,639,if (options.getOptionGroup(option) != null),0.447214,38,107
70,S145,Option.java,42,"public class Option implements Cloneable, Serializable",0.447214,38,107
70,S149,Option.java,90,this.argName = builder.argName;,0.447214,38,107
70,S150,Option.java,91,this.description = builder.description;,0.447214,38,107
70,S151,Option.java,92,this.longOpt = builder.longOpt;,0.447214,38,107
70,S152,Option.java,93,this.numberOfArgs = builder.numberOfArgs;,0.447214,38,107
70,S153,Option.java,94,this.opt = builder.opt;,0.447214,38,107
70,S154,Option.java,95,this.optionalArg = builder.optionalArg;,0.447214,38,107
70,S155,Option.java,96,this.required = builder.required;,0.447214,38,107
70,S156,Option.java,97,this.type = builder.type;,0.447214,38,107
70,S157,Option.java,98,this.valuesep = builder.valuesep;,0.447214,38,107
70,S165,Option.java,195,return opt;,0.447214,38,107
70,S195,Option.java,579,return values;,0.447214,38,107
70,S207,Option.java,730,return (hasArg() || hasArgs() || hasOptionalArg()) && (numberOfArgs <= 0 || values.size() < numberOfArgs);,0.447214,38,107
70,S211,Option.java,775,return new Builder(opt);,0.447214,38,107
70,S212,Option.java,792,public static final class Builder,0.447214,38,107
70,S213,Option.java,813,private int numberOfArgs = UNINITIALIZED;,0.447214,38,107
70,S214,Option.java,816,private Class<?> type = String.class;,0.447214,38,107
70,S215,Option.java,830,OptionValidator.validateOption(opt);,0.447214,38,107
70,S216,Option.java,831,this.opt = opt;,0.447214,38,107
70,S228,Option.java,1008,if (opt == null && longOpt == null),0.447214,38,107
70,S229,Option.java,1012,return new Option(this);,0.447214,38,107
70,S379,Util.java,47,"return str.substring(1, str.length());",0.447214,38,107
108,S48,DefaultParser.java,31,public class DefaultParser implements CommandLineParser,0.408248,33,140
108,S49,DefaultParser.java,60,"return parse(options, arguments, null);",0.408248,33,140
108,S50,DefaultParser.java,76,"return parse(options, arguments, properties, false);",0.408248,33,140
108,S51,DefaultParser.java,102,this.options = options;,0.408248,33,140
108,S52,DefaultParser.java,103,this.stopAtNonOption = stopAtNonOption;,0.408248,33,140
108,S53,DefaultParser.java,104,skipParsing = false;,0.408248,33,140
108,S54,DefaultParser.java,105,currentOption = null;,0.408248,33,140
108,S55,DefaultParser.java,106,expectedOpts = new ArrayList(options.getRequiredOptions());,0.408248,33,140
108,S56,DefaultParser.java,109,for (OptionGroup group : options.getOptionGroups()),0.408248,33,140
108,S57,DefaultParser.java,114,cmd = new CommandLine();,0.408248,33,140
108,S58,DefaultParser.java,116,if (arguments != null),0.408248,33,140
108,S59,DefaultParser.java,118,for (String argument : arguments),0.408248,33,140
108,S60,DefaultParser.java,120,handleToken(argument);,0.408248,33,140
108,S69,DefaultParser.java,223,currentToken = token;,0.408248,33,140
108,S70,DefaultParser.java,225,if (skipParsing),0.408248,33,140
108,S71,DefaultParser.java,229,"else if (""--"".equals(token))",0.408248,33,140
108,S72,DefaultParser.java,233,else if (currentOption != null && currentOption.acceptsArg() && isArgument(token)),0.408248,33,140
108,S74,DefaultParser.java,237,"else if (token.startsWith(""--""))",0.408248,33,140
108,S173,Option.java,290,return numberOfArgs > 0 || numberOfArgs == UNLIMITED_VALUES;,0.408248,33,140
108,S203,Option.java,685,Option option = (Option) super.clone();,0.408248,33,140
108,S204,Option.java,686,option.values = new ArrayList<String>(values);,0.408248,33,140
108,S205,Option.java,687,return option;,0.408248,33,140
108,S270,OptionValidator.java,54,if (opt.length() == 1),0.408248,33,140
108,S271,OptionValidator.java,56,char ch = opt.charAt(0);,0.408248,33,140
108,S272,OptionValidator.java,58,if (!isValidOpt(ch)),0.408248,33,140
108,S275,OptionValidator.java,86,return isValidChar(c) || c == '?' || c == '@';,0.408248,33,140
108,S276,OptionValidator.java,97,return Character.isJavaIdentifierPart(c);,0.408248,33,140
108,S291,Options.java,257,opt = Util.stripLeadingHyphens(opt);,0.408248,33,140
108,S292,Options.java,259,if (shortOpts.containsKey(opt)),0.408248,33,140
108,S293,Options.java,261,return shortOpts.get(opt);,0.408248,33,140
108,S308,Options.java,346,return optionGroups.get(opt.getKey());,0.408248,33,140
108,S378,Util.java,45,"else if (str.startsWith(""-""))",0.408248,33,140
108,S380,Util.java,50,return str;,0.408248,33,140
141,S44,CommandLine.java,351,options.add(opt);,0.377964,18,158
141,S164,Option.java,180,return (opt == null) ? longOpt : opt;,0.377964,18,158
141,S172,Option.java,280,return longOpt != null;,0.377964,18,158
141,S174,Option.java,321,return required;,0.377964,18,158
141,S277,Options.java,43,public class Options implements Serializable,0.377964,18,158
141,S278,Options.java,49,"private final Map<String, Option> shortOpts = new LinkedHashMap<String, Option>();",0.377964,18,158
141,S279,Options.java,52,"private final Map<String, Option> longOpts = new LinkedHashMap<String, Option>();",0.377964,18,158
141,S280,Options.java,57,private final List<Object> requiredOpts = new ArrayList<Object>();,0.377964,18,158
141,S281,Options.java,60,"private final Map<String, OptionGroup> optionGroups = new LinkedHashMap<String, OptionGroup>();",0.377964,18,158
141,S282,Options.java,96,return new HashSet<OptionGroup>(optionGroups.values());,0.377964,18,158
141,S283,Options.java,192,String key = opt.getKey();,0.377964,18,158
141,S284,Options.java,195,if (opt.hasLongOpt()),0.377964,18,158
141,S286,Options.java,201,if (opt.isRequired()),0.377964,18,158
141,S287,Options.java,210,"shortOpts.put(key, opt);",0.377964,18,158
141,S288,Options.java,212,return this;,0.377964,18,158
141,S290,Options.java,242,return Collections.unmodifiableList(requiredOpts);,0.377964,18,158
141,S375,Util.java,37,if (str == null),0.377964,18,158
141,S376,Util.java,41,"if (str.startsWith(""--""))",0.377964,18,158
159,S15,CommandLine.java,46,private final List<String> args = new LinkedList<String>();,0.353553,6,164
159,S16,CommandLine.java,49,private final List<Option> options = new ArrayList<Option>();,0.353553,6,164
159,S146,Option.java,72,private int numberOfArgs = UNINITIALIZED;,0.353553,6,164
159,S147,Option.java,75,private Class<?> type = String.class;,0.353553,6,164
159,S148,Option.java,78,private List<String> values = new ArrayList<String>();,0.353553,6,164
159,S268,OptionValidator.java,48,if (opt == null),0.353553,6,164
165,S1,AmbiguousOptionException.java,47,"super(createMessage(option, matchingOptions), option);",0.0,219,383
165,S2,AmbiguousOptionException.java,48,this.matchingOptions = matchingOptions;,0.0,219,383
165,S3,AmbiguousOptionException.java,69,"StringBuilder buf = new StringBuilder(""Ambiguous option: '"");",0.0,219,383
165,S4,AmbiguousOptionException.java,70,buf.append(option);,0.0,219,383
165,S5,AmbiguousOptionException.java,71,"buf.append(""'  (could be: "");",0.0,219,383
165,S6,AmbiguousOptionException.java,73,Iterator<String> it = matchingOptions.iterator();,0.0,219,383
165,S7,AmbiguousOptionException.java,74,while (it.hasNext()),0.0,219,383
165,S8,AmbiguousOptionException.java,76,"buf.append(""'"");",0.0,219,383
165,S9,AmbiguousOptionException.java,77,buf.append(it.next());,0.0,219,383
165,S10,AmbiguousOptionException.java,78,"buf.append(""'"");",0.0,219,383
165,S11,AmbiguousOptionException.java,79,if (it.hasNext()),0.0,219,383
165,S12,AmbiguousOptionException.java,81,"buf.append("", "");",0.0,219,383
165,S13,AmbiguousOptionException.java,84,"buf.append("")"");",0.0,219,383
165,S14,AmbiguousOptionException.java,86,return buf.toString();,0.0,219,383
165,S18,CommandLine.java,113,String res = getOptionValue(opt);,0.0,219,383
165,S19,CommandLine.java,114,Option option = resolveOption(opt);,0.0,219,383
165,S20,CommandLine.java,116,if (option == null || res == null),0.0,219,383
165,S21,CommandLine.java,121,"return TypeHandler.createValue(res, option.getType());",0.0,219,383
165,S33,CommandLine.java,199,if (opt.equals(option.getLongOpt())),0.0,219,383
165,S34,CommandLine.java,205,return null;,0.0,219,383
165,S35,CommandLine.java,265,Properties props = new Properties();,0.0,219,383
165,S36,CommandLine.java,267,for (Option option : options),0.0,219,383
