virtual_test_id,S1,result
testHWRuleEx1_this_L229_F_1,1,PASS
testHWRuleEx1_this_L230_F_2,1,PASS
testHWRuleEx1_this_L231_F_3,1,PASS
testHWRuleEx1_this_L232_F_4,1,FAIL
testBadCharacters_this_L88_P_1,1,PASS
testDifference_this_L95_P_2,1,PASS
testDifference_this_L96_P_3,1,PASS
testDifference_this_L97_P_4,1,PASS
testDifference_this_L99_P_5,1,PASS
testDifference_this_L100_P_6,1,PASS
testDifference_this_L101_P_7,1,PASS
testDifference_this_L102_P_8,1,PASS
testDifference_this_L104_P_9,1,PASS
testDifference_this_L105_P_10,1,PASS
testDifference_this_L107_P_11,1,PASS
testDifference_this_L108_P_12,1,PASS
testDifference_this_L109_P_13,1,PASS
testEncodeBasic_this_L114_P_14,1,PASS
testEncodeBasic_this_L115_P_15,1,PASS
testEncodeBasic_this_L116_P_16,1,PASS
testEncodeBasic_this_L117_P_17,1,PASS
testEncodeBasic_this_L118_P_18,1,PASS
testEncodeBasic_this_L119_P_19,1,PASS
testEncodeBasic_this_L120_P_20,1,PASS
testEncodeBasic_this_L121_P_21,1,PASS
testEncodeBasic_this_L122_P_22,1,PASS
testEncodeBasic_this_L123_P_23,1,PASS
testEncodeBatch2_this_L131_P_24,1,PASS
testEncodeBatch2_this_L132_P_25,1,PASS
testEncodeBatch2_this_L133_P_26,1,PASS
testEncodeBatch2_this_L134_P_27,1,PASS
testEncodeBatch2_this_L135_P_28,1,PASS
testEncodeBatch2_this_L136_P_29,1,PASS
testEncodeBatch2_this_L137_P_30,1,PASS
testEncodeBatch2_this_L138_P_31,1,PASS
testEncodeBatch2_this_L139_P_32,1,PASS
testEncodeBatch2_this_L140_P_33,1,PASS
testEncodeBatch2_this_L141_P_34,1,PASS
testEncodeBatch2_this_L142_P_35,1,PASS
testEncodeBatch2_this_L143_P_36,1,PASS
testEncodeBatch2_this_L144_P_37,1,PASS
testEncodeBatch2_this_L145_P_38,1,PASS
testEncodeBatch2_this_L146_P_39,1,PASS
testEncodeBatch3_this_L154_P_40,1,PASS
testEncodeBatch3_this_L155_P_41,1,PASS
testEncodeBatch3_this_L156_P_42,1,PASS
testEncodeBatch3_this_L157_P_43,1,PASS
testEncodeBatch3_this_L158_P_44,1,PASS
testEncodeBatch3_this_L159_P_45,1,PASS
testEncodeBatch3_this_L162_P_46,1,PASS
testEncodeBatch4_this_L170_P_47,1,PASS
testEncodeBatch4_this_L171_P_48,1,PASS
testEncodeBatch4_this_L172_P_49,1,PASS
testEncodeBatch4_this_L173_P_50,1,PASS
testEncodeBatch4_this_L174_P_51,1,PASS
testEncodeBatch4_this_L175_P_52,1,PASS
testEncodeBatch4_this_L176_P_53,1,PASS
testEncodeBatch4_this_L177_P_54,1,PASS
testEncodeIgnoreTrimmable_this_L217_P_55,1,PASS
testHWRuleEx2_this_L242_P_56,1,PASS
testHWRuleEx2_this_L243_P_57,1,PASS
testHWRuleEx3_this_L253_P_58,1,PASS
testHWRuleEx3_this_L254_P_59,1,PASS
testMsSqlServer1_this_L281_P_60,1,PASS
testMsSqlServer1_this_L282_P_61,1,PASS
testMsSqlServer3_this_L302_P_62,1,PASS
testMsSqlServer3_this_L303_P_63,1,PASS
testMsSqlServer3_this_L304_P_64,1,PASS
testMsSqlServer3_this_L305_P_65,1,PASS
testMsSqlServer3_this_L306_P_66,1,PASS
testMsSqlServer3_this_L307_P_67,1,PASS
testMsSqlServer3_this_L308_P_68,1,PASS
testMsSqlServer3_this_L309_P_69,1,PASS
testMsSqlServer3_this_L310_P_70,1,PASS
testUsMappingEWithAcute_this_L359_P_71,1,PASS
testUsMappingEWithAcute_this_L363_P_72,0,PASS
testUsMappingEWithAcute_this_L369_P_73,0,PASS
testUsMappingOWithDiaeresis_this_L380_P_74,1,PASS
testUsMappingOWithDiaeresis_this_L384_P_75,0,PASS
testUsMappingOWithDiaeresis_this_L390_P_76,0,PASS
testWikipediaAmericanSoundex_this_L399_P_77,1,PASS
testWikipediaAmericanSoundex_this_L400_P_78,1,PASS
testWikipediaAmericanSoundex_this_L401_P_79,1,PASS
testWikipediaAmericanSoundex_this_L402_P_80,1,PASS
testWikipediaAmericanSoundex_this_L403_P_81,1,PASS
testWikipediaAmericanSoundex_this_L404_P_82,1,PASS
