Project,BugID,Total_Faults,Included_In_Slice,Fault_Inclusion_Rate,Fail_Assert_Count,All_Faulty_Stmts_In_Slice,Faulty_Stmts_In_Slice
Cli,11b,1,1,1.0,2,True,True
Cli,12b,1,1,1.0,4,True,True
Cli,14b,5,4,0.8,1,False,True
Cli,13b,5,1,0.2,3,False,True
Cli,15b,7,2,0.285714,4,False,True
Cli,17b,1,1,1.0,3,True,True
Cli,16b,7,1,0.142857,5,False,True
Cli,18b,5,1,0.2,3,False,True
Cli,19b,3,1,0.333333,3,False,True
Cli,1b,29,15,0.517241,3,False,True
Cli,20b,4,4,1.0,3,True,True
Cli,22b,13,5,0.384615,3,False,True
Cli,23b,3,2,0.666667,4,False,True
Cli,21b,15,4,0.266667,3,False,True
Cli,24b,1,1,1.0,3,True,True
Cli,25b,1,1,1.0,3,True,True
Cli,26b,4,1,0.25,4,False,True
Cli,27b,2,0,0.0,2,False,False
Cli,29b,5,4,0.8,3,False,True
Cli,2b,2,1,0.5,3,False,True
Cli,28b,1,1,1.0,3,True,True
Cli,30b,6,2,0.333333,3,False,True
Cli,32b,3,1,0.333333,2,False,True
Cli,31b,4,4,1.0,2,True,True
Cli,33b,4,1,0.25,1,False,True
Cli,35b,1,0,0.0,2,False,False
Cli,34b,2,1,0.5,3,False,True
Cli,37b,2,1,0.5,1,False,True
Cli,38b,2,1,0.5,1,False,True
Cli,39b,2,1,0.5,2,False,True
Cli,36b,5,2,0.4,2,False,True
Cli,3b,2,1,0.5,1,False,True
Cli,4b,1,1,1.0,4,True,True
Cli,7b,3,1,0.333333,1,False,True
Cli,5b,1,1,1.0,4,True,True
Cli,8b,1,1,1.0,2,True,True
Codec,10b,1,1,1.0,1,True,True
Cli,9b,2,2,1.0,4,True,True
Codec,11b,23,7,0.304348,5,False,True
Codec,12b,5,0,0.0,15,False,False
Codec,14b,10,4,0.4,2,False,True
Codec,15b,5,5,1.0,1,True,True
Codec,16b,1,0,0.0,5,False,False
Codec,17b,1,1,1.0,35,True,True
Codec,18b,1,1,1.0,36,True,True
Codec,1b,3,0,0.0,0,False,False
Codec,2b,1,1,1.0,2,True,True
Codec,3b,1,1,1.0,1,True,True
Codec,4b,1,1,1.0,2,True,True
Codec,5b,1,1,1.0,2,True,True
Codec,6b,3,3,1.0,1,True,True
Codec,7b,1,1,1.0,2,True,True
Codec,8b,10,6,0.6,1,False,True
Codec,13b,3,1,0.333333,20,False,True
Collections,25b,3,1,0.333333,3,False,True
Collections,26b,1,0,0.0,2,False,False
Collections,27b,1,0,0.0,2,False,False
Collections,28b,1,0,0.0,3,False,False
Csv,10b,1,0,0.0,1,False,False
Csv,11b,1,1,1.0,3,True,True
Codec,9b,1,1,1.0,1,True,True
Csv,13b,2,2,1.0,4,True,True
Csv,12b,1,1,1.0,3,True,True
Csv,14b,1,1,1.0,8,True,True
Csv,15b,3,3,1.0,3,True,True
Csv,16b,4,2,0.5,3,False,True
Csv,1b,1,1,1.0,1,True,True
Csv,2b,2,1,0.5,2,False,True
Csv,4b,1,1,1.0,3,True,True
Csv,3b,2,2,1.0,4,True,True
Csv,5b,2,2,1.0,1,True,True
Csv,6b,2,2,1.0,3,True,True
Csv,7b,2,1,0.5,3,False,True
Csv,9b,1,1,1.0,3,True,True
Csv,8b,8,6,0.75,3,False,True
JacksonXml,2b,6,3,0.5,3,False,True
JacksonXml,1b,6,6,1.0,6,True,True
JacksonXml,3b,2,1,0.5,4,False,True
JacksonXml,5b,1,1,1.0,6,True,True
JacksonXml,4b,2,2,1.0,4,True,True
JacksonXml,6b,10,0,0.0,11,False,False
Jsoup,7b,4,0,0.0,0,False,False
Jsoup,6b,2,2,1.0,1,True,True
