rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S167,QuotedPrintableCodec.java,405,return this.charset;,0.57735,1,1
2,S104,QuotedPrintableCodec.java,91,this(CharEncoding.UTF_8);,0.527046,1,2
3,S209,Utils.java,44,"throw new DecoderException(""Invalid URL encoding: not a valid digit (radix "" + URLCodec.RADIX + ""): "" + b);",0.516398,1,3
4,S105,QuotedPrintableCodec.java,101,super();,0.5,2,5
4,S106,QuotedPrintableCodec.java,102,this.charset = charset;,0.5,2,5
6,S142,QuotedPrintableCodec.java,300,"return encode(pString, getDefaultCharset());",0.424264,1,6
7,S97,QuotedPrintableCodec.java,62,private static final BitSet PRINTABLE_CHARS = new BitSet(256);,0.422577,7,13
7,S98,QuotedPrintableCodec.java,77,for (int i = 33; i <= 60; i++) {,0.422577,7,13
7,S99,QuotedPrintableCodec.java,78,PRINTABLE_CHARS.set(i);,0.422577,7,13
7,S100,QuotedPrintableCodec.java,80,for (int i = 62; i <= 126; i++) {,0.422577,7,13
7,S101,QuotedPrintableCodec.java,81,PRINTABLE_CHARS.set(i);,0.422577,7,13
7,S102,QuotedPrintableCodec.java,83,PRINTABLE_CHARS.set(TAB);,0.422577,7,13
7,S103,QuotedPrintableCodec.java,84,PRINTABLE_CHARS.set(SPACE);,0.422577,7,13
14,S138,QuotedPrintableCodec.java,256,"return encodeQuotedPrintable(PRINTABLE_CHARS, bytes);",0.40452,3,16
14,S140,QuotedPrintableCodec.java,296,if (pString == null) {,0.40452,3,16
14,S170,QuotedPrintableCodec.java,429,return StringUtils.newStringUsAscii(encode(pString.getBytes(charset)));,0.40452,3,16
17,S1,DecoderException.java,54,super(message);,0.4,1,17
18,S168,QuotedPrintableCodec.java,426,if (pString == null) {,0.387298,1,18
19,S122,QuotedPrintableCodec.java,184,buffer.write(b);,0.358569,1,19
20,S204,StringUtils.java,186,if (bytes == null) {,0.34641,3,22
20,S205,StringUtils.java,190,"return new String(bytes, charsetName);",0.34641,3,22
20,S206,StringUtils.java,223,"return StringUtils.newString(bytes, CharEncoding.US_ASCII);",0.34641,3,22
23,S114,QuotedPrintableCodec.java,171,if (printable == null) {,0.33541,7,29
23,S116,QuotedPrintableCodec.java,174,ByteArrayOutputStream buffer = new ByteArrayOutputStream();,0.33541,7,29
23,S117,QuotedPrintableCodec.java,178,for (byte c : bytes) {,0.33541,7,29
23,S118,QuotedPrintableCodec.java,179,int b = c;,0.33541,7,29
23,S119,QuotedPrintableCodec.java,180,if (b < 0) {,0.33541,7,29
23,S121,QuotedPrintableCodec.java,183,if (printable.get(b)) {,0.33541,7,29
23,S124,QuotedPrintableCodec.java,201,return buffer.toByteArray();,0.33541,7,29
30,S112,QuotedPrintableCodec.java,168,if (bytes == null) {,0.325396,1,30
31,S150,QuotedPrintableCodec.java,344,"return decode(pString, getDefaultCharset());",0.298142,1,31
32,S139,QuotedPrintableCodec.java,275,return decodeQuotedPrintable(bytes);,0.282843,3,34
32,S147,QuotedPrintableCodec.java,324,"return new String(decode(StringUtils.getBytesUsAscii(pString)), charset);",0.282843,3,34
32,S148,QuotedPrintableCodec.java,340,if (pString == null) {,0.282843,3,34
35,S133,QuotedPrintableCodec.java,231,buffer.write((char) ((u << 4) + l));,0.26968,2,36
35,S145,QuotedPrintableCodec.java,321,if (pString == null) {,0.26968,2,36
37,S131,QuotedPrintableCodec.java,229,int u = Utils.digit16(bytes[++i]);,0.258199,5,41
37,S132,QuotedPrintableCodec.java,230,int l = Utils.digit16(bytes[++i]);,0.258199,5,41
37,S207,Utils.java,42,"int i = Character.digit((char) b, 16);",0.258199,5,41
37,S208,Utils.java,43,if (i == -1) {,0.258199,5,41
37,S210,Utils.java,46,return i;,0.258199,5,41
42,S107,QuotedPrintableCodec.java,115,buffer.write(ESCAPE_CHAR);,0.248069,7,48
42,S108,QuotedPrintableCodec.java,116,"char hex1 = Character.toUpperCase(Character.forDigit((b >> 4) & 0xF, 16));",0.248069,7,48
42,S109,QuotedPrintableCodec.java,117,"char hex2 = Character.toUpperCase(Character.forDigit(b & 0xF, 16));",0.248069,7,48
42,S110,QuotedPrintableCodec.java,118,buffer.write(hex1);,0.248069,7,48
42,S111,QuotedPrintableCodec.java,119,buffer.write(hex2);,0.248069,7,48
42,S123,QuotedPrintableCodec.java,189,"encodeQuotedPrintable(b, buffer);",0.248069,7,48
42,S136,QuotedPrintableCodec.java,237,buffer.write(b);,0.248069,7,48
49,S127,QuotedPrintableCodec.java,223,ByteArrayOutputStream buffer = new ByteArrayOutputStream();,0.223607,7,55
49,S128,QuotedPrintableCodec.java,224,for (int i = 0; i < bytes.length; i++) {,0.223607,7,55
49,S129,QuotedPrintableCodec.java,225,final int b = bytes[i];,0.223607,7,55
49,S130,QuotedPrintableCodec.java,226,if (b == ESCAPE_CHAR) {,0.223607,7,55
49,S201,StringUtils.java,65,"return StringUtils.getBytesUnchecked(string, CharEncoding.US_ASCII);",0.223607,7,55
49,S202,StringUtils.java,152,if (string == null) {,0.223607,7,55
49,S203,StringUtils.java,156,return string.getBytes(charsetName);,0.223607,7,55
56,S125,QuotedPrintableCodec.java,220,if (bytes == null) {,0.21693,1,56
57,S2,DecoderException.java,73,"super(message, cause);",0.0,154,210
57,S3,EncoderException.java,55,super(message);,0.0,154,210
57,S4,EncoderException.java,74,"super(message, cause);",0.0,154,210
57,S5,QCodec.java,58,private static final BitSet PRINTABLE_CHARS = new BitSet(256);,0.0,154,210
57,S6,QCodec.java,62,PRINTABLE_CHARS.set(' ');,0.0,154,210
57,S7,QCodec.java,63,PRINTABLE_CHARS.set('!');,0.0,154,210
57,S8,QCodec.java,64,"PRINTABLE_CHARS.set('""');",0.0,154,210
57,S9,QCodec.java,65,PRINTABLE_CHARS.set('#');,0.0,154,210
57,S10,QCodec.java,66,PRINTABLE_CHARS.set('$');,0.0,154,210
57,S11,QCodec.java,67,PRINTABLE_CHARS.set('%');,0.0,154,210
57,S12,QCodec.java,68,PRINTABLE_CHARS.set('&');,0.0,154,210
57,S13,QCodec.java,69,PRINTABLE_CHARS.set('\'');,0.0,154,210
57,S14,QCodec.java,70,PRINTABLE_CHARS.set('(');,0.0,154,210
57,S15,QCodec.java,71,PRINTABLE_CHARS.set(')');,0.0,154,210
57,S16,QCodec.java,72,PRINTABLE_CHARS.set('*');,0.0,154,210
57,S17,QCodec.java,73,PRINTABLE_CHARS.set('+');,0.0,154,210
57,S18,QCodec.java,74,"PRINTABLE_CHARS.set(',');",0.0,154,210
57,S19,QCodec.java,75,PRINTABLE_CHARS.set('-');,0.0,154,210
57,S20,QCodec.java,76,PRINTABLE_CHARS.set('.');,0.0,154,210
57,S21,QCodec.java,77,PRINTABLE_CHARS.set('/');,0.0,154,210
57,S22,QCodec.java,78,for (int i = '0'; i <= '9'; i++) {,0.0,154,210
57,S23,QCodec.java,79,PRINTABLE_CHARS.set(i);,0.0,154,210
57,S24,QCodec.java,81,PRINTABLE_CHARS.set(':');,0.0,154,210
57,S25,QCodec.java,82,PRINTABLE_CHARS.set(';');,0.0,154,210
57,S26,QCodec.java,83,PRINTABLE_CHARS.set('<');,0.0,154,210
57,S27,QCodec.java,84,PRINTABLE_CHARS.set('>');,0.0,154,210
57,S28,QCodec.java,85,PRINTABLE_CHARS.set('@');,0.0,154,210
57,S29,QCodec.java,86,for (int i = 'A'; i <= 'Z'; i++) {,0.0,154,210
57,S30,QCodec.java,87,PRINTABLE_CHARS.set(i);,0.0,154,210
57,S31,QCodec.java,89,PRINTABLE_CHARS.set('[');,0.0,154,210
57,S32,QCodec.java,90,PRINTABLE_CHARS.set('\\');,0.0,154,210
57,S33,QCodec.java,91,PRINTABLE_CHARS.set(']');,0.0,154,210
57,S34,QCodec.java,92,PRINTABLE_CHARS.set('^');,0.0,154,210
57,S35,QCodec.java,93,PRINTABLE_CHARS.set('`');,0.0,154,210
57,S36,QCodec.java,94,for (int i = 'a'; i <= 'z'; i++) {,0.0,154,210
57,S37,QCodec.java,95,PRINTABLE_CHARS.set(i);,0.0,154,210
57,S38,QCodec.java,97,PRINTABLE_CHARS.set('{');,0.0,154,210
57,S39,QCodec.java,98,PRINTABLE_CHARS.set('|');,0.0,154,210
57,S40,QCodec.java,99,PRINTABLE_CHARS.set('}');,0.0,154,210
57,S41,QCodec.java,100,PRINTABLE_CHARS.set('~');,0.0,154,210
57,S42,QCodec.java,107,private boolean encodeBlanks = false;,0.0,154,210
57,S43,QCodec.java,113,this(CharEncoding.UTF_8);,0.0,154,210
57,S44,QCodec.java,125,super();,0.0,154,210
57,S45,QCodec.java,126,this.charset = charset;,0.0,154,210
57,S46,QCodec.java,131,"return ""Q"";",0.0,154,210
57,S47,QCodec.java,136,if (bytes == null) {,0.0,154,210
57,S48,QCodec.java,137,return null;,0.0,154,210
57,S49,QCodec.java,139,"byte[] data = QuotedPrintableCodec.encodeQuotedPrintable(PRINTABLE_CHARS, bytes);",0.0,154,210
57,S50,QCodec.java,140,if (this.encodeBlanks) {,0.0,154,210
57,S51,QCodec.java,141,for (int i = 0; i < data.length; i++) {,0.0,154,210
57,S52,QCodec.java,142,if (data[i] == BLANK) {,0.0,154,210
57,S53,QCodec.java,143,data[i] = UNDERSCORE;,0.0,154,210
57,S54,QCodec.java,147,return data;,0.0,154,210
57,S55,QCodec.java,152,if (bytes == null) {,0.0,154,210
57,S56,QCodec.java,153,return null;,0.0,154,210
57,S57,QCodec.java,155,boolean hasUnderscores = false;,0.0,154,210
57,S58,QCodec.java,156,for (byte b : bytes) {,0.0,154,210
57,S59,QCodec.java,157,if (b == UNDERSCORE) {,0.0,154,210
57,S60,QCodec.java,158,hasUnderscores = true;,0.0,154,210
57,S61,QCodec.java,159,break;,0.0,154,210
57,S62,QCodec.java,162,if (hasUnderscores) {,0.0,154,210
57,S63,QCodec.java,163,byte[] tmp = new byte[bytes.length];,0.0,154,210
57,S64,QCodec.java,164,for (int i = 0; i < bytes.length; i++) {,0.0,154,210
57,S65,QCodec.java,165,byte b = bytes[i];,0.0,154,210
57,S66,QCodec.java,166,if (b != UNDERSCORE) {,0.0,154,210
57,S67,QCodec.java,167,tmp[i] = b;,0.0,154,210
57,S68,QCodec.java,169,tmp[i] = BLANK;,0.0,154,210
57,S69,QCodec.java,172,return QuotedPrintableCodec.decodeQuotedPrintable(tmp);,0.0,154,210
57,S70,QCodec.java,174,return QuotedPrintableCodec.decodeQuotedPrintable(bytes);,0.0,154,210
57,S71,QCodec.java,190,if (pString == null) {,0.0,154,210
57,S72,QCodec.java,191,return null;,0.0,154,210
