statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,6,0,38,10,0.369274
S2,6,0,38,10,0.369274
S3,6,0,38,10,0.369274
S4,6,0,38,10,0.369274
S5,6,0,38,10,0.369274
S6,6,0,38,10,0.369274
S7,6,0,38,10,0.369274
S8,6,0,38,10,0.369274
S9,6,0,38,10,0.369274
S10,6,0,38,10,0.369274
S11,6,0,38,10,0.369274
S12,6,0,38,10,0.369274
S13,6,0,38,10,0.369274
S14,6,0,38,10,0.369274
S15,6,0,38,10,0.369274
S16,6,0,38,10,0.369274
S17,6,0,38,10,0.369274
S18,6,0,38,10,0.369274
S19,6,0,38,10,0.369274
S20,6,0,38,10,0.369274
S21,6,0,38,10,0.369274
S22,1,5,10,38,0.123091
S23,0,6,11,37,0.0
S24,0,6,11,37,0.0
S25,0,6,3,45,0.0
S26,0,6,9,39,0.0
S27,0,6,4,44,0.0
S28,0,6,4,44,0.0
S29,0,6,4,44,0.0
S30,0,6,2,46,0.0
S31,0,6,2,46,0.0
S32,0,6,2,46,0.0
S33,0,6,1,47,0.0
S34,0,6,2,46,0.0
S35,0,6,2,46,0.0
S36,0,6,2,46,0.0
S37,0,6,2,46,0.0
S38,0,6,2,46,0.0
S39,0,6,2,46,0.0
S40,0,6,2,46,0.0
S41,6,0,38,10,0.369274
S42,6,0,38,10,0.369274
S43,1,5,8,40,0.136083
S44,0,6,7,41,0.0
S45,1,5,2,46,0.235702
S46,0,6,7,41,0.0
S47,0,6,7,41,0.0
S48,0,6,7,41,0.0
S49,0,6,7,41,0.0
S50,0,6,7,41,0.0
S51,0,6,7,41,0.0
S52,0,6,4,44,0.0
S53,0,6,4,44,0.0
S54,0,6,4,44,0.0
S55,0,6,4,44,0.0
S56,0,6,4,44,0.0
S57,0,6,2,46,0.0
S58,0,6,2,46,0.0
S59,0,6,2,46,0.0
S60,0,6,2,46,0.0
S61,0,6,2,46,0.0
S62,0,6,2,46,0.0
S63,0,6,2,46,0.0
S64,0,6,2,46,0.0
S65,0,6,4,44,0.0
S66,0,6,4,44,0.0
S67,0,6,4,44,0.0
S68,0,6,4,44,0.0
S69,0,6,4,44,0.0
S70,0,6,4,44,0.0
S71,0,6,4,44,0.0
S72,0,6,4,44,0.0
S73,0,6,1,47,0.0
S74,0,6,1,47,0.0
S75,0,6,1,47,0.0
S76,0,6,1,47,0.0
S77,0,6,2,46,0.0
S78,0,6,2,46,0.0
S79,0,6,2,46,0.0
S80,0,6,2,46,0.0
S81,0,6,2,46,0.0
S82,0,6,1,47,0.0
S83,0,6,2,46,0.0
S84,0,6,2,46,0.0
S85,0,6,2,46,0.0
S86,0,6,2,46,0.0
S87,0,6,2,46,0.0
S88,0,6,2,46,0.0
S89,0,6,2,46,0.0
S90,0,6,2,46,0.0
S91,0,6,2,46,0.0
S92,0,6,1,47,0.0
S93,0,6,2,46,0.0
S94,0,6,2,46,0.0
S95,0,6,2,46,0.0
S96,0,6,2,46,0.0
S97,0,6,1,47,0.0
S98,0,6,2,46,0.0
S99,0,6,2,46,0.0
S100,0,6,2,46,0.0
S101,0,6,2,46,0.0
S102,0,6,2,46,0.0
S103,0,6,2,46,0.0
S104,0,6,1,47,0.0
S105,0,6,1,47,0.0
S106,0,6,1,47,0.0
S107,0,6,1,47,0.0
S108,6,0,38,10,0.369274
S109,6,0,38,10,0.369274
S110,6,0,38,10,0.369274
S111,6,0,38,10,0.369274
S112,1,5,9,39,0.129099
S113,0,6,10,38,0.0
S114,0,6,3,45,0.0
S115,0,6,3,45,0.0
S116,0,6,3,45,0.0
S117,1,5,5,43,0.166667
S118,1,5,5,43,0.166667
S119,1,5,5,43,0.166667
S120,1,5,5,43,0.166667
S121,1,5,5,43,0.166667
S122,1,5,3,45,0.204124
S123,1,5,2,46,0.235702
S124,1,5,2,46,0.235702
S125,1,5,2,46,0.235702
S126,0,6,3,45,0.0
S127,0,6,5,43,0.0
S128,0,6,5,43,0.0
S129,0,6,5,43,0.0
S130,5,1,23,25,0.385758
S131,5,1,23,25,0.385758
S132,5,1,17,31,0.435194
S133,0,6,6,42,0.0
S134,0,6,6,42,0.0
S135,0,6,6,42,0.0
S136,0,6,8,40,0.0
S137,1,5,10,38,0.123091
S138,1,5,10,38,0.123091
S139,0,6,1,47,0.0
S140,0,6,1,47,0.0
S141,1,5,10,38,0.123091
S142,1,5,11,37,0.117851
S143,1,5,11,37,0.117851
S144,1,5,11,37,0.117851
S145,1,5,11,37,0.117851
S146,1,5,11,37,0.117851
S147,1,5,11,37,0.117851
S148,1,5,11,37,0.117851
S149,1,5,11,37,0.117851
S150,0,6,1,47,0.0
S151,0,6,1,47,0.0
S152,1,5,11,37,0.117851
S153,1,5,11,37,0.117851
S154,0,6,2,46,0.0
S155,0,6,2,46,0.0
S156,1,5,11,37,0.117851
S157,1,5,11,37,0.117851
S158,1,5,11,37,0.117851
S159,1,5,11,37,0.117851
S160,1,5,11,37,0.117851
S161,1,5,5,43,0.166667
S162,1,5,5,43,0.166667
S163,1,5,5,43,0.166667
S164,0,6,3,45,0.0
S165,0,6,3,45,0.0
S166,1,5,4,44,0.182574
S167,1,5,5,43,0.166667
S168,0,6,1,47,0.0
S169,0,6,2,46,0.0
S170,0,6,2,46,0.0
S171,0,6,8,40,0.0
S172,1,5,11,37,0.117851
S173,0,6,5,43,0.0
S174,0,6,5,43,0.0
S175,0,6,5,43,0.0
S176,1,5,8,40,0.136083
S177,1,5,11,37,0.117851
S178,1,5,11,37,0.117851
S179,0,6,7,41,0.0
S180,6,0,38,10,0.369274
S181,6,0,38,10,0.369274
S182,6,0,38,10,0.369274
S183,6,0,38,10,0.369274
S184,6,0,38,10,0.369274
S185,6,0,38,10,0.369274
S186,6,0,38,10,0.369274
S187,6,0,38,10,0.369274
S188,6,0,38,10,0.369274
S189,6,0,38,10,0.369274
S190,6,0,38,10,0.369274
S191,6,0,38,10,0.369274
S192,6,0,38,10,0.369274
S193,1,5,10,38,0.123091
S194,1,5,10,38,0.123091
S195,1,5,10,38,0.123091
S196,1,5,10,38,0.123091
S197,1,5,10,38,0.123091
S198,0,6,10,38,0.0
S199,1,5,7,41,0.144338
S200,6,0,38,10,0.369274
S201,6,0,38,10,0.369274
S202,6,0,38,10,0.369274
S203,6,0,38,10,0.369274
S204,6,0,38,10,0.369274
S205,6,0,38,10,0.369274
S206,6,0,38,10,0.369274
S207,6,0,38,10,0.369274
S208,6,0,38,10,0.369274
S209,6,0,38,10,0.369274
S210,6,0,38,10,0.369274
S211,6,0,38,10,0.369274
S212,6,0,38,10,0.369274
S213,6,0,38,10,0.369274
S214,6,0,38,10,0.369274
S215,6,0,38,10,0.369274
S216,6,0,38,10,0.369274
S217,6,0,38,10,0.369274
S218,6,0,38,10,0.369274
S219,6,0,38,10,0.369274
S220,6,0,38,10,0.369274
S221,6,0,38,10,0.369274
S222,6,0,38,10,0.369274
S223,6,0,38,10,0.369274
S224,6,0,38,10,0.369274
S225,6,0,38,10,0.369274
S226,0,6,1,47,0.0
S227,0,6,1,47,0.0
S228,0,6,1,47,0.0
S229,0,6,1,47,0.0
S230,0,6,1,47,0.0
S231,0,6,1,47,0.0
S232,0,6,1,47,0.0
S233,0,6,1,47,0.0
S234,0,6,1,47,0.0
S235,0,6,1,47,0.0
S236,0,6,1,47,0.0
S237,1,5,18,30,0.093659
S238,1,5,18,30,0.093659
S239,0,6,1,47,0.0
S240,0,6,3,45,0.0
S241,0,6,1,47,0.0
S242,0,6,1,47,0.0
S243,0,6,1,47,0.0
S244,0,6,4,44,0.0
S245,0,6,2,46,0.0
S246,0,6,4,44,0.0
S247,0,6,4,44,0.0
S248,0,6,4,44,0.0
S249,0,6,4,44,0.0
S250,0,6,2,46,0.0
S251,0,6,4,44,0.0
S252,0,6,4,44,0.0
S253,0,6,4,44,0.0
S254,0,6,4,44,0.0
S255,0,6,4,44,0.0
S256,0,6,2,46,0.0
S257,0,6,4,44,0.0
S258,0,6,1,47,0.0
S259,0,6,4,44,0.0
S260,0,6,1,47,0.0
S261,0,6,4,44,0.0
S262,0,6,2,46,0.0
S263,0,6,2,46,0.0
S264,0,6,2,46,0.0
S265,0,6,2,46,0.0
S266,0,6,1,47,0.0
S267,0,6,1,47,0.0
S268,0,6,1,47,0.0
S269,0,6,2,46,0.0
S270,0,6,2,46,0.0
S271,0,6,2,46,0.0
S272,0,6,1,47,0.0
S273,0,6,1,47,0.0
S274,0,6,1,47,0.0
S275,0,6,2,46,0.0
S276,0,6,2,46,0.0
S277,0,6,2,46,0.0
S278,0,6,1,47,0.0
S279,0,6,1,47,0.0
S280,0,6,1,47,0.0
S281,0,6,4,44,0.0
S282,0,6,3,45,0.0
S283,0,6,1,47,0.0
S284,0,6,3,45,0.0
S285,0,6,3,45,0.0
S286,0,6,2,46,0.0
S287,0,6,2,46,0.0
S288,0,6,2,46,0.0
S289,0,6,2,46,0.0
S290,0,6,2,46,0.0
S291,0,6,2,46,0.0
S292,0,6,2,46,0.0
S293,0,6,1,47,0.0
S294,0,6,2,46,0.0
S295,0,6,2,46,0.0
S296,0,6,4,44,0.0
S297,0,6,2,46,0.0
S298,0,6,1,47,0.0
S299,0,6,1,47,0.0
S300,0,6,1,47,0.0
S301,0,6,1,47,0.0
S302,0,6,1,47,0.0
S303,0,6,1,47,0.0
S304,0,6,1,47,0.0
S305,0,6,1,47,0.0
S306,0,6,1,47,0.0
S307,0,6,1,47,0.0
S308,0,6,1,47,0.0
S309,0,6,1,47,0.0
S310,0,6,1,47,0.0
S311,0,6,1,47,0.0
S312,0,6,1,47,0.0
S313,0,6,1,47,0.0
S314,0,6,1,47,0.0
S315,0,6,1,47,0.0
S316,0,6,1,47,0.0
S317,0,6,1,47,0.0
S318,0,6,1,47,0.0
S319,0,6,1,47,0.0
S320,0,6,1,47,0.0
S321,0,6,1,47,0.0
S322,0,6,1,47,0.0
S323,0,6,1,47,0.0
S324,0,6,1,47,0.0
S325,0,6,1,47,0.0
S326,0,6,1,47,0.0
S327,0,6,1,47,0.0
S328,0,6,1,47,0.0
S329,0,6,1,47,0.0
S330,0,6,1,47,0.0
S331,0,6,1,47,0.0
S332,0,6,1,47,0.0
S333,0,6,1,47,0.0
S334,0,6,1,47,0.0
S335,0,6,1,47,0.0
S336,0,6,1,47,0.0
S337,0,6,1,47,0.0
S338,0,6,1,47,0.0
S339,0,6,1,47,0.0
S340,0,6,1,47,0.0
S341,0,6,1,47,0.0
