statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,0,1,2,93,0.0
S2,0,1,2,93,0.0
S3,0,1,2,93,0.0
S4,0,1,2,93,0.0
S5,0,1,2,93,0.0
S6,0,1,2,93,0.0
S7,0,1,2,93,0.0
S8,0,1,2,93,0.0
S9,0,1,2,93,0.0
S10,0,1,2,93,0.0
S11,0,1,2,93,0.0
S12,0,1,2,93,0.0
S13,0,1,2,93,0.0
S14,0,1,2,93,0.0
S15,0,1,2,93,0.0
S16,0,1,2,93,0.0
S17,0,1,2,93,0.0
S18,0,1,2,93,0.0
S19,1,0,13,82,0.267261
S20,0,1,6,89,0.0
S21,1,0,7,88,0.353553
S22,0,1,6,89,0.0
S23,0,1,6,89,0.0
S24,0,1,6,89,0.0
S25,1,0,13,82,0.267261
S26,0,1,6,89,0.0
S27,0,1,6,89,0.0
S28,0,1,2,93,0.0
S29,0,1,4,91,0.0
S30,0,1,3,92,0.0
S31,0,1,1,94,0.0
S32,1,0,7,88,0.353553
S33,1,0,3,92,0.5
S34,1,0,3,92,0.5
S35,1,0,3,92,0.5
S36,1,0,3,92,0.5
S37,1,0,3,92,0.5
S38,1,0,3,92,0.5
S39,1,0,3,92,0.5
S40,0,1,4,91,0.0
S41,0,1,3,92,0.0
S42,0,1,1,94,0.0
S43,1,0,3,92,0.5
S44,1,0,0,95,1.0
S45,1,0,0,95,1.0
S46,0,1,3,92,0.0
S47,0,1,2,93,0.0
S48,0,1,2,93,0.0
S49,0,1,1,94,0.0
S50,1,0,3,92,0.5
S51,1,0,3,92,0.5
S52,0,1,3,92,0.0
S53,0,1,3,92,0.0
S54,0,1,5,90,0.0
S55,0,1,5,90,0.0
S56,0,1,6,89,0.0
S57,0,1,6,89,0.0
S58,0,1,3,92,0.0
S59,0,1,3,92,0.0
S60,0,1,3,92,0.0
S61,0,1,1,94,0.0
S62,0,1,1,94,0.0
S63,0,1,2,93,0.0
S64,0,1,1,94,0.0
S65,0,1,1,94,0.0
S66,0,1,1,94,0.0
S67,0,1,1,94,0.0
S68,0,1,1,94,0.0
S69,0,1,3,92,0.0
S70,0,1,3,92,0.0
S71,0,1,1,94,0.0
S72,0,1,1,94,0.0
S73,0,1,1,94,0.0
S74,0,1,1,94,0.0
S75,0,1,2,93,0.0
S76,0,1,2,93,0.0
S77,0,1,2,93,0.0
S78,0,1,2,93,0.0
S79,0,1,2,93,0.0
S80,0,1,2,93,0.0
S81,0,1,2,93,0.0
S82,0,1,2,93,0.0
S83,0,1,2,93,0.0
S84,0,1,2,93,0.0
S85,0,1,20,75,0.0
S86,0,1,4,91,0.0
S87,0,1,4,91,0.0
S88,0,1,1,94,0.0
S89,0,1,1,94,0.0
S90,0,1,1,94,0.0
