rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S14,ArchiveUtils.java,273,final char[] chars = s.toCharArray();,1.0,9,9
1,S15,ArchiveUtils.java,275,final StringBuilder sb = new StringBuilder();,1.0,9,9
1,S16,ArchiveUtils.java,276,for (int i = 0; i < len; i++) {,1.0,9,9
1,S17,ArchiveUtils.java,277,final char c = chars[i];,1.0,9,9
1,S18,ArchiveUtils.java,278,if (!Character.isISOControl(c)) {,1.0,9,9
1,S19,ArchiveUtils.java,279,Character.UnicodeBlock block = Character.UnicodeBlock.of(c);,1.0,9,9
1,S20,ArchiveUtils.java,280,if (block != null && block != Character.UnicodeBlock.SPECIALS) {,1.0,9,9
1,S21,ArchiveUtils.java,281,sb.append(c);,1.0,9,9
1,S22,ArchiveUtils.java,287,return sb.toString();,1.0,9,9
10,S1,ArchiveUtils.java,75,buffer1 = expected.getBytes(CharsetNames.US_ASCII);,0.0,13,22
10,S2,ArchiveUtils.java,79,"return isEqual(buffer1, 0, buffer1.length, buffer, offset, length, false);",0.0,13,22
10,S3,ArchiveUtils.java,90,"return matchAsciiBuffer(expected, buffer, 0, buffer.length);",0.0,13,22
10,S4,ArchiveUtils.java,160,if (length1 == length2){,0.0,13,22
10,S5,ArchiveUtils.java,161,return true;,0.0,13,22
10,S6,ArchiveUtils.java,163,if (ignoreTrailingNulls){,0.0,13,22
10,S7,ArchiveUtils.java,164,if (length1 > length2){,0.0,13,22
10,S8,ArchiveUtils.java,171,for(int i = length1; i < length2; i++){,0.0,13,22
10,S9,ArchiveUtils.java,172,if (buffer2[offset2+i] != 0){,0.0,13,22
10,S10,ArchiveUtils.java,177,return true;,0.0,13,22
10,S11,ArchiveUtils.java,179,return false;,0.0,13,22
10,S12,ArchiveUtils.java,207,"return isEqual(buffer1, 0, buffer1.length, buffer2, 0, buffer2.length, false);",0.0,13,22
10,S13,ArchiveUtils.java,219,"return isEqual(buffer1, 0, buffer1.length, buffer2, 0, buffer2.length, ignoreTrailingNulls);",0.0,13,22
