rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S365,ParserBase.java,588,if (fractLen < 1 && expLen < 1) { // integer,1.0,57,57
1,S366,ParserBase.java,589,"return resetInt(negative, intLen);",1.0,57,57
1,S446,ReaderBasedJsonParser.java,1293,_inputPtr = startPtr;,1.0,57,57
1,S447,ReaderBasedJsonParser.java,1294,"return _parseNumber2(false, startPtr);",1.0,57,57
1,S454,ReaderBasedJsonParser.java,1311,_verifyRootSpace(ch);,1.0,57,57
1,S458,ReaderBasedJsonParser.java,1439,_inputPtr = neg ? (startPtr+1) : startPtr;,1.0,57,57
1,S459,ReaderBasedJsonParser.java,1440,char[] outBuf = _textBuffer.emptyAndGetCurrentSegment();,1.0,57,57
1,S460,ReaderBasedJsonParser.java,1441,int outPtr = 0;,1.0,57,57
1,S461,ReaderBasedJsonParser.java,1444,if (neg) {,1.0,57,57
1,S462,ReaderBasedJsonParser.java,1449,int intLen = 0;,1.0,57,57
1,S463,ReaderBasedJsonParser.java,1450,char c = (_inputPtr < _inputEnd) ? _inputBuffer[_inputPtr++],1.0,57,57
1,S464,ReaderBasedJsonParser.java,1452,if (c == '0') {,1.0,57,57
1,S465,ReaderBasedJsonParser.java,1455,boolean eof = false;,1.0,57,57
1,S466,ReaderBasedJsonParser.java,1459,while (c >= '0' && c <= '9') {,1.0,57,57
1,S467,ReaderBasedJsonParser.java,1460,++intLen;,1.0,57,57
1,S468,ReaderBasedJsonParser.java,1461,if (outPtr >= outBuf.length) {,1.0,57,57
1,S469,ReaderBasedJsonParser.java,1465,outBuf[outPtr++] = c;,1.0,57,57
1,S470,ReaderBasedJsonParser.java,1466,if (_inputPtr >= _inputEnd && !_loadMore()) {,1.0,57,57
1,S471,ReaderBasedJsonParser.java,1468,c = CHAR_NULL;,1.0,57,57
1,S472,ReaderBasedJsonParser.java,1469,eof = true;,1.0,57,57
1,S473,ReaderBasedJsonParser.java,1470,break int_loop;,1.0,57,57
1,S474,ReaderBasedJsonParser.java,1475,if (intLen == 0) {,1.0,57,57
1,S475,ReaderBasedJsonParser.java,1479,int fractLen = 0;,1.0,57,57
1,S476,ReaderBasedJsonParser.java,1481,"if (c == '.') { // yes, fraction",1.0,57,57
1,S477,ReaderBasedJsonParser.java,1507,int expLen = 0;,1.0,57,57
1,S478,ReaderBasedJsonParser.java,1508,if (c == 'e' || c == 'E') { // exponent?,1.0,57,57
1,S479,ReaderBasedJsonParser.java,1550,if (!eof) {,1.0,57,57
1,S480,ReaderBasedJsonParser.java,1556,_textBuffer.setCurrentLength(outPtr);,1.0,57,57
1,S481,ReaderBasedJsonParser.java,1558,"return reset(neg, intLen, fractLen, expLen);",1.0,57,57
1,S482,ReaderBasedJsonParser.java,1651,++_inputPtr;,1.0,57,57
1,S483,ReaderBasedJsonParser.java,1652,switch (ch) {,1.0,57,57
1,S484,ReaderBasedJsonParser.java,1655,return;,1.0,57,57
1,S510,TextBuffer.java,141,resetWithEmpty();,1.0,57,57
1,S511,TextBuffer.java,143,char[] buf = _currentSegment;,1.0,57,57
1,S512,TextBuffer.java,144,_currentSegment = null;,1.0,57,57
1,S513,TextBuffer.java,145,"_allocator.releaseCharBuffer(BufferRecycler.CHAR_TEXT_BUFFER, buf);",1.0,57,57
1,S514,TextBuffer.java,156,_inputStart = -1; // indicates shared buffer not used,1.0,57,57
1,S515,TextBuffer.java,157,_currentSize = 0;,1.0,57,57
1,S516,TextBuffer.java,158,_inputLen = 0;,1.0,57,57
1,S517,TextBuffer.java,160,_inputBuffer = null;,1.0,57,57
1,S518,TextBuffer.java,161,_resultString = null;,1.0,57,57
1,S519,TextBuffer.java,162,_resultArray = null;,1.0,57,57
1,S520,TextBuffer.java,165,if (_hasSegments) {,1.0,57,57
1,S527,TextBuffer.java,234,if (_allocator != null) {,1.0,57,57
1,S528,TextBuffer.java,235,"return _allocator.allocCharBuffer(BufferRecycler.CHAR_TEXT_BUFFER, needed);",1.0,57,57
1,S531,TextBuffer.java,577,_inputStart = -1; // indicates shared buffer not used,1.0,57,57
1,S532,TextBuffer.java,578,_currentSize = 0;,1.0,57,57
1,S533,TextBuffer.java,579,_inputLen = 0;,1.0,57,57
1,S534,TextBuffer.java,581,_inputBuffer = null;,1.0,57,57
1,S535,TextBuffer.java,582,_resultString = null;,1.0,57,57
1,S536,TextBuffer.java,583,_resultArray = null;,1.0,57,57
1,S537,TextBuffer.java,586,if (_hasSegments) {,1.0,57,57
1,S538,TextBuffer.java,589,char[] curr = _currentSegment;,1.0,57,57
1,S539,TextBuffer.java,590,if (curr == null) {,1.0,57,57
1,S540,TextBuffer.java,591,_currentSegment = curr = buf(0);,1.0,57,57
1,S541,TextBuffer.java,593,return curr;,1.0,57,57
1,S542,TextBuffer.java,597,public void setCurrentLength(int len) { _currentSize = len; },1.0,57,57
58,S1,BufferRecycler.java,45,"private final static int[] BYTE_BUFFER_LENGTHS = new int[] { 8000, 8000, 2000, 2000 };",0.707107,460,517
58,S2,BufferRecycler.java,46,"private final static int[] CHAR_BUFFER_LENGTHS = new int[] { 4000, 4000, 200, 200 };",0.707107,460,517
58,S3,BufferRecycler.java,62,"this(4, 4);",0.707107,460,517
58,S4,BufferRecycler.java,71,"protected BufferRecycler(int bbCount, int cbCount) {",0.707107,460,517
58,S5,BufferRecycler.java,72,_byteBuffers = new byte[bbCount][];,0.707107,460,517
58,S6,BufferRecycler.java,73,_charBuffers = new char[cbCount][];,0.707107,460,517
58,S7,BufferRecycler.java,118,final int DEF_SIZE = charBufferLength(ix);,0.707107,460,517
58,S8,BufferRecycler.java,119,if (minSize < DEF_SIZE) {,0.707107,460,517
58,S9,BufferRecycler.java,120,minSize = DEF_SIZE;,0.707107,460,517
58,S10,BufferRecycler.java,122,char[] buffer = _charBuffers[ix];,0.707107,460,517
58,S11,BufferRecycler.java,123,if (buffer == null || buffer.length < minSize) {,0.707107,460,517
58,S12,BufferRecycler.java,124,buffer = calloc(minSize);,0.707107,460,517
58,S13,BufferRecycler.java,128,return buffer;,0.707107,460,517
58,S14,BufferRecycler.java,132,_charBuffers[ix] = buffer;,0.707107,460,517
58,S15,BufferRecycler.java,146,return CHAR_BUFFER_LENGTHS[ix];,0.707107,460,517
58,S16,BufferRecycler.java,156,protected char[] calloc(int size) { return new char[size]; },0.707107,460,517
58,S17,ByteQuadsCanonicalizer.java,222,"private ByteQuadsCanonicalizer(int sz, boolean intern, int seed, boolean failOnDoS) {",0.707107,460,517
58,S18,ByteQuadsCanonicalizer.java,223,_parent = null;,0.707107,460,517
58,S19,ByteQuadsCanonicalizer.java,224,_seed = seed;,0.707107,460,517
58,S20,ByteQuadsCanonicalizer.java,225,_intern = intern;,0.707107,460,517
58,S21,ByteQuadsCanonicalizer.java,226,_failOnDoS = failOnDoS;,0.707107,460,517
58,S22,ByteQuadsCanonicalizer.java,228,if (sz < MIN_HASH_SIZE) {,0.707107,460,517
58,S23,ByteQuadsCanonicalizer.java,233,if ((sz & (sz - 1)) != 0) { // only true if it's 2^N,0.707107,460,517
58,S24,ByteQuadsCanonicalizer.java,241,_tableInfo = new AtomicReference<TableInfo>(TableInfo.createInitial(sz));,0.707107,460,517
58,S25,ByteQuadsCanonicalizer.java,288,long now = System.currentTimeMillis();,0.707107,460,517
58,S26,ByteQuadsCanonicalizer.java,290,int seed = (((int) now) + ((int) (now >>> 32))) | 1;,0.707107,460,517
58,S27,ByteQuadsCanonicalizer.java,291,return createRoot(seed);,0.707107,460,517
58,S28,ByteQuadsCanonicalizer.java,299,"return new ByteQuadsCanonicalizer(DEFAULT_T_SIZE, true, seed, true);",0.707107,460,517
58,S29,ByteQuadsCanonicalizer.java,1196,int tertSlots = (primarySlots) >> 2;,0.707107,460,517
58,S30,ByteQuadsCanonicalizer.java,1199,if (tertSlots < 64) {,0.707107,460,517
58,S31,ByteQuadsCanonicalizer.java,1200,return 4;,0.707107,460,517
58,S32,ByteQuadsCanonicalizer.java,1238,this.size = size;,0.707107,460,517
58,S33,ByteQuadsCanonicalizer.java,1239,this.count = count;,0.707107,460,517
58,S34,ByteQuadsCanonicalizer.java,1240,this.tertiaryShift = tertiaryShift;,0.707107,460,517
58,S35,ByteQuadsCanonicalizer.java,1241,this.mainHash = mainHash;,0.707107,460,517
58,S36,ByteQuadsCanonicalizer.java,1242,this.names = names;,0.707107,460,517
58,S37,ByteQuadsCanonicalizer.java,1243,this.spilloverEnd = spilloverEnd;,0.707107,460,517
58,S38,ByteQuadsCanonicalizer.java,1244,this.longNameOffset = longNameOffset;,0.707107,460,517
58,S39,ByteQuadsCanonicalizer.java,1259,int hashAreaSize = sz << 3;,0.707107,460,517
58,S40,ByteQuadsCanonicalizer.java,1260,int tertShift = _calcTertiaryShift(sz);,0.707107,460,517
58,S41,ByteQuadsCanonicalizer.java,1262,"return new TableInfo(sz, // hashSize",0.707107,460,517
58,S42,CharTypes.java,7,"private final static char[] HC = ""0123456789ABCDEF"".toCharArray();",0.707107,460,517
58,S43,CharTypes.java,10,int len = HC.length;,0.707107,460,517
58,S44,CharTypes.java,11,HB = new byte[len];,0.707107,460,517
58,S45,CharTypes.java,12,for (int i = 0; i < len; ++i) {,0.707107,460,517
58,S46,CharTypes.java,13,HB[i] = (byte) HC[i];,0.707107,460,517
58,S47,CharTypes.java,28,final int[] table = new int[256];,0.707107,460,517
