rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S47,DateUtils.java,259,if (cal1 == null || cal2 == null) {,0.707107,2,2
1,S48,DateUtils.java,262,return (cal1.get(Calendar.MILLISECOND) == cal2.get(Calendar.MILLISECOND) &&,0.707107,2,2
3,S28,DateUtils.java,60,"public static final TimeZone UTC_TIME_ZONE = TimeZone.getTimeZone(""GMT"");",0.067729,2,4
3,S29,DateUtils.java,88,private static final int[][] fields = {,0.067729,2,4
5,S1,DateFormatUtils.java,44,public static final FastDateFormat ISO_DATETIME_FORMAT,0.0,630,634
5,S2,DateFormatUtils.java,51,public static final FastDateFormat ISO_DATETIME_TIME_ZONE_FORMAT,0.0,630,634
5,S3,DateFormatUtils.java,58,public static final FastDateFormat ISO_DATE_FORMAT,0.0,630,634
5,S4,DateFormatUtils.java,67,public static final FastDateFormat ISO_DATE_TIME_ZONE_FORMAT,0.0,630,634
5,S5,DateFormatUtils.java,74,public static final FastDateFormat ISO_TIME_FORMAT,0.0,630,634
5,S6,DateFormatUtils.java,81,public static final FastDateFormat ISO_TIME_TIME_ZONE_FORMAT,0.0,630,634
5,S7,DateFormatUtils.java,90,public static final FastDateFormat ISO_TIME_NO_T_FORMAT,0.0,630,634
5,S8,DateFormatUtils.java,99,public static final FastDateFormat ISO_TIME_NO_T_TIME_ZONE_FORMAT,0.0,630,634
5,S9,DateFormatUtils.java,106,public static final FastDateFormat SMTP_DATETIME_FORMAT,0.0,630,634
5,S10,DateFormatUtils.java,117,super();,0.0,630,634
5,S11,DateFormatUtils.java,128,"return format(new Date(millis), pattern, DateUtils.UTC_TIME_ZONE, null);",0.0,630,634
5,S12,DateFormatUtils.java,139,"return format(date, pattern, DateUtils.UTC_TIME_ZONE, null);",0.0,630,634
5,S13,DateFormatUtils.java,151,"return format(new Date(millis), pattern, DateUtils.UTC_TIME_ZONE, locale);",0.0,630,634
5,S14,DateFormatUtils.java,163,"return format(date, pattern, DateUtils.UTC_TIME_ZONE, locale);",0.0,630,634
5,S15,DateFormatUtils.java,174,"return format(new Date(millis), pattern, null, null);",0.0,630,634
5,S16,DateFormatUtils.java,185,"return format(date, pattern, null, null);",0.0,630,634
5,S17,DateFormatUtils.java,198,"return format(calendar, pattern, null, null);",0.0,630,634
5,S18,DateFormatUtils.java,210,"return format(new Date(millis), pattern, timeZone, null);",0.0,630,634
5,S19,DateFormatUtils.java,222,"return format(date, pattern, timeZone, null);",0.0,630,634
5,S20,DateFormatUtils.java,248,"return format(new Date(millis), pattern, null, locale);",0.0,630,634
5,S21,DateFormatUtils.java,260,"return format(date, pattern, null, locale);",0.0,630,634
5,S22,DateFormatUtils.java,274,"return format(calendar, pattern, null, locale);",0.0,630,634
5,S23,DateFormatUtils.java,287,"return format(new Date(millis), pattern, timeZone, locale);",0.0,630,634
5,S24,DateFormatUtils.java,300,"FastDateFormat df = FastDateFormat.getInstance(pattern, timeZone, locale);",0.0,630,634
5,S25,DateFormatUtils.java,301,return df.format(date);,0.0,630,634
5,S26,DateFormatUtils.java,316,"FastDateFormat df = FastDateFormat.getInstance(pattern, timeZone, locale);",0.0,630,634
5,S27,DateFormatUtils.java,317,return df.format(calendar);,0.0,630,634
5,S30,DateUtils.java,158,super();,0.0,630,634
5,S31,DateUtils.java,176,if (date1 == null || date2 == null) {,0.0,630,634
5,S32,DateUtils.java,177,"throw new IllegalArgumentException(""The date must not be null"");",0.0,630,634
5,S33,DateUtils.java,179,Calendar cal1 = Calendar.getInstance();,0.0,630,634
5,S34,DateUtils.java,180,cal1.setTime(date1);,0.0,630,634
5,S35,DateUtils.java,181,Calendar cal2 = Calendar.getInstance();,0.0,630,634
5,S36,DateUtils.java,182,cal2.setTime(date2);,0.0,630,634
5,S37,DateUtils.java,183,"return isSameDay(cal1, cal2);",0.0,630,634
5,S38,DateUtils.java,200,if (cal1 == null || cal2 == null) {,0.0,630,634
5,S39,DateUtils.java,201,"throw new IllegalArgumentException(""The date must not be null"");",0.0,630,634
5,S40,DateUtils.java,203,return (cal1.get(Calendar.ERA) == cal2.get(Calendar.ERA) &&,0.0,630,634
5,S41,DateUtils.java,221,if (date1 == null || date2 == null) {,0.0,630,634
5,S42,DateUtils.java,222,"throw new IllegalArgumentException(""The date must not be null"");",0.0,630,634
5,S43,DateUtils.java,224,return date1.getTime() == date2.getTime();,0.0,630,634
5,S44,DateUtils.java,239,if (cal1 == null || cal2 == null) {,0.0,630,634
5,S45,DateUtils.java,240,"throw new IllegalArgumentException(""The date must not be null"");",0.0,630,634
5,S46,DateUtils.java,242,return cal1.getTime().getTime() == cal2.getTime().getTime();,0.0,630,634
5,S49,DateUtils.java,288,"return parseDateWithLeniency(str, parsePatterns, true);",0.0,630,634
5,S50,DateUtils.java,308,"return parseDateWithLeniency(str, parsePatterns, false);",0.0,630,634
5,S51,DateUtils.java,328,if (str == null || parsePatterns == null) {,0.0,630,634
5,S52,DateUtils.java,329,"throw new IllegalArgumentException(""Date and Patterns must not be null"");",0.0,630,634
5,S53,DateUtils.java,332,SimpleDateFormat parser = new SimpleDateFormat();,0.0,630,634
5,S54,DateUtils.java,333,parser.setLenient(lenient);,0.0,630,634
5,S55,DateUtils.java,334,ParsePosition pos = new ParsePosition(0);,0.0,630,634
5,S56,DateUtils.java,335,for (int i = 0; i < parsePatterns.length; i++) {,0.0,630,634
5,S57,DateUtils.java,337,String pattern = parsePatterns[i];,0.0,630,634
5,S58,DateUtils.java,340,"if (parsePatterns[i].endsWith(""ZZ"")) {",0.0,630,634
