rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S7,Util.java,65,"if (str.startsWith(""\""""))",0.707107,5,5
1,S9,Util.java,69,int length = str.length();,0.707107,5,5
1,S10,Util.java,70,"if (str.endsWith(""\""""))",0.707107,5,5
1,S11,Util.java,72,"str = str.substring(0, length - 1);",0.707107,5,5
1,S12,Util.java,75,return str;,0.707107,5,5
6,S1,Util.java,38,if (str == null),0.0,7,12
6,S2,Util.java,40,return null;,0.0,7,12
6,S3,Util.java,42,"if (str.startsWith(""--""))",0.0,7,12
6,S4,Util.java,44,"return str.substring(2, str.length());",0.0,7,12
6,S5,Util.java,46,"else if (str.startsWith(""-""))",0.0,7,12
6,S6,Util.java,48,"return str.substring(1, str.length());",0.0,7,12
6,S8,Util.java,67,"str = str.substring(1, str.length());",0.0,7,12
