file,line,approx,answerable
src/main/java/org/apache/commons/codec/language/bm/Lang.java,98,False,True
src/main/java/org/apache/commons/codec/language/bm/Lang.java,102,False,True
src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java,31,False,True
src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java,338,False,True
src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java,361,False,True
src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java,364,False,True
src/main/java/org/apache/commons/codec/language/bm/Rule.java,158,True,False
src/main/resources/org/apache/commons/codec/language/bm/ash_lang.txt	1969-12-31 16:00:00.000000000 -0800,0,True,False
src/main/resources/org/apache/commons/codec/language/bm/gen_lang.txt	1969-12-31 16:00:00.000000000 -0800,0,True,False
src/main/resources/org/apache/commons/codec/language/bm/sep_lang.txt	1969-12-31 16:00:00.000000000 -0800,0,True,False
