rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S2531,Validate.java,92,"throw new IllegalArgumentException(""String must not be empty"");",0.57735,1,1
2,S287,DocumentType.java,20,super(baseUri);,0.166667,2,3
2,S288,DocumentType.java,22,Validate.notEmpty(name);,0.166667,2,3
4,S1379,Node.java,42,"this(baseUri, new Attributes());",0.109109,1,4
5,S15,Attributes.java,17,"public class Attributes implements Iterable<Attribute>, Cloneable {",0.089087,10,14
5,S16,Attributes.java,20,"private LinkedHashMap<String, Attribute> attributes = null;",0.089087,10,14
5,S1373,Node.java,32,"protected Node(String baseUri, Attributes attributes) {",0.089087,10,14
5,S1374,Node.java,33,Validate.notNull(baseUri);,0.089087,10,14
5,S1375,Node.java,34,Validate.notNull(attributes);,0.089087,10,14
5,S1376,Node.java,36,childNodes = new ArrayList<Node>(4);,0.089087,10,14
5,S1377,Node.java,37,this.baseUri = baseUri.trim();,0.089087,10,14
5,S1378,Node.java,38,this.attributes = attributes;,0.089087,10,14
5,S2518,Validate.java,15,if (obj == null),0.089087,10,14
5,S2530,Validate.java,91,if (string == null || string.length() == 0),0.089087,10,14
15,S1,Attribute.java,13,private static final String[] booleanAttributes = {,0.0,2571,2585
15,S2,Attribute.java,29,"public Attribute(String key, String value) {",0.0,2571,2585
15,S3,Attribute.java,30,Validate.notEmpty(key);,0.0,2571,2585
15,S4,Attribute.java,31,Validate.notNull(value);,0.0,2571,2585
15,S5,Attribute.java,32,this.key = key.trim().toLowerCase();,0.0,2571,2585
15,S6,Attribute.java,33,this.value = value;,0.0,2571,2585
15,S7,Attribute.java,41,return key;,0.0,2571,2585
15,S8,Attribute.java,58,return value;,0.0,2571,2585
15,S9,Attribute.java,83,accum.append(key);,0.0,2571,2585
15,S10,Attribute.java,84,if (!shouldCollapseAttribute(out)) {,0.0,2571,2585
15,S11,Attribute.java,85,"accum.append(""=\"""");",0.0,2571,2585
15,S12,Attribute.java,86,"Entities.escape(accum, value, out, true, false, false);",0.0,2571,2585
15,S13,Attribute.java,87,"accum.append('""');",0.0,2571,2585
15,S14,Attribute.java,118,"return ("""".equals(value) || value.equalsIgnoreCase(key))",0.0,2571,2585
15,S17,Attributes.java,31,Validate.notEmpty(key);,0.0,2571,2585
15,S18,Attributes.java,33,if (attributes == null),0.0,2571,2585
15,S19,Attributes.java,36,Attribute attr = attributes.get(key.toLowerCase());,0.0,2571,2585
15,S20,Attributes.java,37,"return attr != null ? attr.getValue() : """";",0.0,2571,2585
15,S21,Attributes.java,46,"Attribute attr = new Attribute(key, value);",0.0,2571,2585
15,S22,Attributes.java,47,put(attr);,0.0,2571,2585
15,S23,Attributes.java,55,Validate.notNull(attribute);,0.0,2571,2585
15,S24,Attributes.java,56,if (attributes == null),0.0,2571,2585
15,S25,Attributes.java,57,"attributes = new LinkedHashMap<String, Attribute>(2);",0.0,2571,2585
15,S26,Attributes.java,58,"attributes.put(attribute.getKey(), attribute);",0.0,2571,2585
15,S27,Attributes.java,78,return attributes != null && attributes.containsKey(key.toLowerCase());,0.0,2571,2585
15,S28,Attributes.java,143,if (attributes == null),0.0,2571,2585
15,S29,Attributes.java,144,return;,0.0,2571,2585
15,S30,Attributes.java,146,"for (Map.Entry<String, Attribute> entry : attributes.entrySet()) {",0.0,2571,2585
15,S31,Attributes.java,147,Attribute attribute = entry.getValue();,0.0,2571,2585
15,S32,Attributes.java,148,"accum.append("" "");",0.0,2571,2585
15,S33,Attributes.java,149,"attribute.html(accum, out);",0.0,2571,2585
15,S34,Attributes.java,171,return attributes != null ? attributes.hashCode() : 0;,0.0,2571,2585
15,S35,Attributes.java,176,if (attributes == null),0.0,2571,2585
15,S36,Attributes.java,177,return new Attributes();,0.0,2571,2585
15,S37,CharacterReader.java,15,private int pos = 0;,0.0,2571,2585
15,S38,CharacterReader.java,16,private int mark = 0;,0.0,2571,2585
15,S39,CharacterReader.java,18,CharacterReader(String input) {,0.0,2571,2585
15,S40,CharacterReader.java,19,Validate.notNull(input);,0.0,2571,2585
15,S41,CharacterReader.java,20,this.input = input.toCharArray();,0.0,2571,2585
15,S42,CharacterReader.java,21,this.length = this.input.length;,0.0,2571,2585
15,S43,CharacterReader.java,29,return pos >= length;,0.0,2571,2585
15,S44,CharacterReader.java,33,return pos >= length ? EOF : input[pos];,0.0,2571,2585
15,S45,CharacterReader.java,37,char val = pos >= length ? EOF : input[pos];,0.0,2571,2585
15,S46,CharacterReader.java,38,pos++;,0.0,2571,2585
15,S47,CharacterReader.java,39,return val;,0.0,2571,2585
15,S48,CharacterReader.java,43,pos--;,0.0,2571,2585
15,S49,CharacterReader.java,47,pos++;,0.0,2571,2585
15,S50,CharacterReader.java,51,mark = pos;,0.0,2571,2585
15,S51,CharacterReader.java,55,pos = mark;,0.0,2571,2585
15,S52,CharacterReader.java,69,for (int i = pos; i < length; i++) {,0.0,2571,2585
15,S53,CharacterReader.java,70,if (c == input[i]),0.0,2571,2585
15,S54,CharacterReader.java,71,return i - pos;,0.0,2571,2585
15,S55,CharacterReader.java,101,int offset = nextIndexOf(c);,0.0,2571,2585
15,S56,CharacterReader.java,102,if (offset != -1) {,0.0,2571,2585
