test_case,result,assertx_calls_found,assertx_calls_counted
org.apache.commons.math.stat.inference.ChiSquareTestTest::testChiSquareIndependence,PASS,7,0
org.apache.commons.math.stat.inference.ChiSquareTestTest::testChiSquareZeroCount,PASS,2,0
org.apache.commons.math.stat.inference.ChiSquareTestTest::testChiSquareDataSetsComparisonEqualCounts,PASS,3,0
org.apache.commons.math.stat.inference.ChiSquareTestTest::testChiSquareDataSetsComparisonUnEqualCounts,PASS,4,0
org.apache.commons.math.stat.inference.ChiSquareTestTest::testChiSquareDataSetsComparisonBadCounts,PASS,0,0
org.apache.commons.math.stat.inference.TestUtilsTest::testChiSquareIndependence,PASS,7,0
org.apache.commons.math.stat.inference.TestUtilsTest::testChiSquareZeroCount,PASS,2,0
org.apache.commons.math.stat.inference.TestUtilsTest::testOneSampleT,PASS,4,0
org.apache.commons.math.stat.inference.TestUtilsTest::testOneSampleTTest,PASS,8,0
org.apache.commons.math.stat.inference.TestUtilsTest::testTwoSampleTHeterscedastic,PASS,8,0
org.apache.commons.math.stat.inference.TestUtilsTest::testTwoSampleTHomoscedastic,PASS,4,0
org.apache.commons.math.stat.inference.TestUtilsTest::testSmallSamples,PASS,2,2
org.apache.commons.math.stat.inference.TestUtilsTest::testPaired,PASS,5,5
