rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S1,ExtendedMessageFormat.java,112,"this(pattern, Locale.getDefault(), registry);",0.0,77,77
1,S2,ExtendedMessageFormat.java,124,super(DUMMY_PATTERN);,0.0,77,77
1,S3,ExtendedMessageFormat.java,125,setLocale(locale);,0.0,77,77
1,S4,ExtendedMessageFormat.java,126,this.registry = registry;,0.0,77,77
1,S5,ExtendedMessageFormat.java,127,applyPattern(pattern);,0.0,77,77
1,S6,ExtendedMessageFormat.java,143,if (registry == null) {,0.0,77,77
1,S7,ExtendedMessageFormat.java,148,ArrayList foundFormats = new ArrayList();,0.0,77,77
1,S8,ExtendedMessageFormat.java,149,ArrayList foundDescriptions = new ArrayList();,0.0,77,77
1,S9,ExtendedMessageFormat.java,150,StringBuffer stripCustom = new StringBuffer(pattern.length());,0.0,77,77
1,S10,ExtendedMessageFormat.java,152,ParsePosition pos = new ParsePosition(0);,0.0,77,77
1,S11,ExtendedMessageFormat.java,153,char[] c = pattern.toCharArray();,0.0,77,77
1,S12,ExtendedMessageFormat.java,155,while (pos.getIndex() < pattern.length()) {,0.0,77,77
1,S13,ExtendedMessageFormat.java,156,switch (c[pos.getIndex()]) {,0.0,77,77
1,S14,ExtendedMessageFormat.java,162,"seekNonWs(pattern, pos);",0.0,77,77
1,S15,ExtendedMessageFormat.java,164,"int index = readArgumentIndex(pattern, next(pos));",0.0,77,77
1,S16,ExtendedMessageFormat.java,165,stripCustom.append(START_FE).append(index);,0.0,77,77
1,S17,ExtendedMessageFormat.java,166,"seekNonWs(pattern, pos);",0.0,77,77
1,S18,ExtendedMessageFormat.java,169,if (c[pos.getIndex()] == START_FMT) {,0.0,77,77
1,S19,ExtendedMessageFormat.java,170,"formatDescription = parseFormatDescription(pattern,",0.0,77,77
1,S20,ExtendedMessageFormat.java,172,format = getFormat(formatDescription);,0.0,77,77
1,S21,ExtendedMessageFormat.java,173,if (format == null) {,0.0,77,77
1,S22,ExtendedMessageFormat.java,181,if (c[pos.getIndex()] != END_FE) {,0.0,77,77
1,S23,ExtendedMessageFormat.java,187,stripCustom.append(c[pos.getIndex()]);,0.0,77,77
1,S24,ExtendedMessageFormat.java,188,next(pos);,0.0,77,77
1,S25,ExtendedMessageFormat.java,191,super.applyPattern(stripCustom.toString());,0.0,77,77
1,S26,ExtendedMessageFormat.java,192,"toPattern = insertFormats(super.toPattern(), foundDescriptions);",0.0,77,77
1,S27,ExtendedMessageFormat.java,193,if (containsElements(foundFormats)) {,0.0,77,77
1,S28,ExtendedMessageFormat.java,194,Format[] origFormats = getFormats();,0.0,77,77
1,S29,ExtendedMessageFormat.java,198,for (Iterator it = foundFormats.iterator(); it.hasNext(); i++) {,0.0,77,77
1,S30,ExtendedMessageFormat.java,199,Format f = (Format) it.next();,0.0,77,77
1,S31,ExtendedMessageFormat.java,200,if (f != null) {,0.0,77,77
1,S32,ExtendedMessageFormat.java,201,origFormats[i] = f;,0.0,77,77
1,S33,ExtendedMessageFormat.java,204,super.setFormats(origFormats);,0.0,77,77
1,S34,ExtendedMessageFormat.java,247,if (registry != null) {,0.0,77,77
1,S35,ExtendedMessageFormat.java,248,String name = desc;,0.0,77,77
1,S36,ExtendedMessageFormat.java,255,FormatFactory factory = (FormatFactory) registry.get(name);,0.0,77,77
1,S37,ExtendedMessageFormat.java,256,if (factory != null) {,0.0,77,77
1,S38,ExtendedMessageFormat.java,257,"return factory.getFormat(name, args, getLocale());",0.0,77,77
1,S39,ExtendedMessageFormat.java,272,"seekNonWs(pattern, pos);",0.0,77,77
1,S40,ExtendedMessageFormat.java,273,StringBuffer result = new StringBuffer();,0.0,77,77
1,S41,ExtendedMessageFormat.java,275,for (; !error && pos.getIndex() < pattern.length(); next(pos)) {,0.0,77,77
1,S42,ExtendedMessageFormat.java,276,char c = pattern.charAt(pos.getIndex());,0.0,77,77
1,S43,ExtendedMessageFormat.java,293,error = !Character.isDigit(c);,0.0,77,77
1,S44,ExtendedMessageFormat.java,294,result.append(c);,0.0,77,77
1,S45,ExtendedMessageFormat.java,314,"seekNonWs(pattern, pos);",0.0,77,77
1,S46,ExtendedMessageFormat.java,315,int text = pos.getIndex();,0.0,77,77
1,S47,ExtendedMessageFormat.java,317,for (; pos.getIndex() < pattern.length(); next(pos)) {,0.0,77,77
1,S48,ExtendedMessageFormat.java,318,switch (pattern.charAt(pos.getIndex())) {,0.0,77,77
1,S49,ExtendedMessageFormat.java,325,"return pattern.substring(text, pos.getIndex());",0.0,77,77
1,S50,ExtendedMessageFormat.java,345,if (!containsElements(customPatterns)) {,0.0,77,77
1,S51,ExtendedMessageFormat.java,348,StringBuffer sb = new StringBuffer(pattern.length() * 2);,0.0,77,77
1,S52,ExtendedMessageFormat.java,349,ParsePosition pos = new ParsePosition(0);,0.0,77,77
1,S53,ExtendedMessageFormat.java,351,int depth = 0;,0.0,77,77
1,S54,ExtendedMessageFormat.java,352,while (pos.getIndex() < pattern.length()) {,0.0,77,77
1,S55,ExtendedMessageFormat.java,353,char c = pattern.charAt(pos.getIndex());,0.0,77,77
1,S56,ExtendedMessageFormat.java,354,switch (c) {,0.0,77,77
1,S57,ExtendedMessageFormat.java,359,depth++;,0.0,77,77
1,S58,ExtendedMessageFormat.java,360,if (depth == 1) {,0.0,77,77
1,S59,ExtendedMessageFormat.java,362,sb.append(START_FE).append(,0.0,77,77
1,S60,ExtendedMessageFormat.java,366,sb.append(START_FMT).append(customPattern);,0.0,77,77
1,S61,ExtendedMessageFormat.java,371,depth--;,0.0,77,77
1,S62,ExtendedMessageFormat.java,374,sb.append(c);,0.0,77,77
1,S63,ExtendedMessageFormat.java,375,next(pos);,0.0,77,77
